study_id,year,ym,male,female,unknown,total
phs000353.v1.p1,2011,2011.58333333333,773,1430,2944,5147
phs000354.v1.p1,2013,2013.41666666667,1,11,0,12
phs000357.v2.p1,2018,2018.66666666667,85,748,0,833
phs000362.v1.p1,2013,2013.58333333333,9,3,0,12
phs000364.v2.p1,2013,2013.66666666667,37,23,1,61
phs000365.v1.p1,2011,2011.58333333333,4,2,1,7
phs000367.v1.p1,2013,2013.58333333333,341,389,5,735
phs000368.v1.p1,2011,2011.75,48,8238,90,8376
phs000369.v1.p1,2012,2012.25,0,216,0,216
phs000370.v2.p1,2014,2014.25,138,46,0,184
phs000371.v2.p1,2016,2016.75,1393,1790,28,3211
phs000372.v1.p1,2014,2014.08333333333,2595,3470,0,6065
phs000373.v1.p1,2017,2017.83333333333,5208,66,0,5274
phs000374.v1.p1,2011,2011.58333333333,8,6,4,18
phs000376.v1.p1,2014,2014.75,23,21,33,77
phs000378.v1.p1,2014,2014.25,459,843,0,1302
phs000380.v1.p1,2012,2012,199,783,0,982
phs000381.v1.p1,2011,2011.91666666667,762,502,0,1264
phs000383.v1.p1,2012,2012.91666666667,87,3914,0,4001
phs000384.v1.p1,2012,2012.41666666667,9,9,0,18
phs000385.v1.p1,2011,2011.83333333333,56,48,0,104
phs000387.v1.p1,2011,2011.91666666667,740,203,0,943
phs000390.v1.p1,2012,2012.25,408,1209,0,1617
phs000391.v1.p1,2012,2012.83333333333,332,334,0,666
phs000394.v1.p1,2012,2012.33333333333,675,369,0,1044
phs000397.v3.p3,2020,2020.58333333333,2326,2828,7327,12481
phs000398.v1.p1,2012,2012.08333333333,234,361,0,595
phs000400.v1.p1,2012,2012.08333333333,5,20,0,25
phs000404.v1.p1,2011,2011.91666666667,1495,2069,151,3715
phs000405.v1.p1,2012,2012.83333333333,6,7,0,13
phs000408.v1.p1,2011,2011.83333333333,180,826,0,1006
phs000409.v1.p1,2012,2012.33333333333,219,87,3,309
phs000413.v2.p1,2012,2012.83333333333,43,42,0,85
phs000418.v2.p1,2014,2014.25,14,2,0,16
phs000419.v1.p1,2012,2012.08333333333,0,1,0,1
phs000421.v1.p1,2013,2013.33333333333,1774,3008,767,5549
phs000422.v1.p1,2013,2013.33333333333,67,124,0,191
phs000424.v8.p2,2019,2019.33333333333,15046,7905,0,22951
phs000428.v2.p2,2017,2017,6933,9575,0,16508
phs000434.v1.p1,2012,2012.66666666667,4,4,0,8
phs000435.v3.p1,2017,2017.08333333333,531,397,31,959
phs000438.v1.p1,2014,2014.25,342,380,0,722
phs000440.v1.p1,2012,2012.16666666667,417,551,407,1375
phs000442.v1.p1,2012,2012.25,53,38,0,91
phs000443.v1.p1,2012,2012.33333333333,144,0,0,144
phs000445.v1.p1,2012,2012.75,18,3,0,21
phs000447.v1.p1,2012,2012.25,624,0,0,624
phs000449.v2.p1,2012,2012.5,115,52,5,172
phs000450.v4.p1,2020,2020.75,252,226,0,478
phs000452.v3.p1,2020,2020.08333333333,448,282,295,1025
phs000454.v1.p1,2013,2013.41666666667,2888,996,0,3884
phs000456.v1.p1,2012,2012.33333333333,1455,1177,134,2766
phs000460.v1.p1,2013,2013.83333333333,553,1129,0,1682
phs000474.v3.p2,2016,2016.25,285,261,10,556
phs000475.v1.p1,2012,2012.25,1,0,0,1
phs000476.v1.p1,2012,2012.25,10,10,0,20
phs000477.v1.p1,2012,2012.25,16,15,0,31
phs000478.v1.p1,2012,2012.33333333333,7,6,0,13
phs000479.v1.p1,2012,2012.58333333333,2,1,0,3
phs000480.v1.p1,2020,2020.5,0,129,238,367
phs000481.v3.p2,2020,2020.5,815,800,0,1615
phs000482.v1.p1,2015,2015.91666666667,350,267,0,617
phs000484.v1.p1,2012,2012.41666666667,5,2,0,7
phs000485.v1.p1,2012,2012.25,4,0,0,4
phs000486.v1.p1,2014,2014.91666666667,3622,6868,2919,13409
phs000488.v2.p1,2016,2016.75,0,0,430,430
phs000490.v1.p1,2018,2018.33333333333,3929,3501,0,7430
phs000492.v3.p2,2018,2018.75,72,91,5,168
phs000494.v1.p1,2012,2012.5,2543,2019,0,4562
phs000497.v3.p2,2016,2016.75,256,165,0,421
phs000500.v1.p1,2012,2012.91666666667,4,4,0,8
phs000504.v2.p2,2013,2013.83333333333,110,74,0,184
phs000507.v2.p2,2018,2018.83333333333,463,810,12,1285
phs000508.v2.p1,2014,2014.25,38,32,0,70
phs000510.v1.p1,2020,2020.83333333333,47,3731,0,3778
phs000511.v1.p1,2012,2012.5,37,11,0,48
phs000512.v1.p1,2012,2012.75,59,38,0,97
phs000516.v2.p1,2015,2015.16666666667,68,50,0,118
phs000517.v3.p1,2015,2015.33333333333,0,3790,0,3790
phs000518.v1.p1,2012,2012.58333333333,7,17,0,24
phs000519.v1.p1,2013,2013.66666666667,2001,2078,0,4079
phs000521.v2.p1,2020,2020.16666666667,0,0,131,131
phs000523.v1.p1,2012,2012.58333333333,0,1799,0,1799
phs000524.v1.p1,2012,2012.91666666667,1986,1612,0,3598
phs000536.v2.p1,2016,2016.08333333333,0,0,96,96
phs000537.v1.p1,2012,2012.75,2,2,0,4
phs000538.v1.p1,2012,2012.83333333333,2,4,0,6
phs000539.v1.p1,2012,2012.83333333333,3,5,0,8
phs000540.v1.p1,2012,2012.83333333333,5,3,0,8
phs000541.v1.p1,2012,2012.83333333333,2,5,0,7
phs000542.v1.p1,2012,2012.75,2,2,0,4
phs000543.v1.p1,2014,2014.75,14,16,0,30
phs000545.v1.p1,2015,2015.41666666667,482,282,0,764
phs000546.v1.p1,2013,2013.5,40,35,0,75
phs000547.v1.p1,2012,2012.75,37,35,3642,3714
phs000549.v1.p1,2012,2012.66666666667,2,10,0,12
phs000550.v1.p1,2013,2013,5,3,1,9
phs000551.v1.p1,2013,2013.91666666667,413,225,0,638
phs000552.v2.p1,2014,2014.25,24,106,0,130
phs000553.v1.p1,2013,2013.41666666667,2,4,1,7
phs000554.v1.p1,2017,2017.66666666667,120,0,0,120
phs000558.v1.p1,2017,2017.16666666667,91,84,0,175
phs000559.v1.p1,2013,2013.91666666667,7878,6600,778,15256
phs000561.v1.p1,2012,2012.83333333333,6,5,0,11
phs000562.v1.p1,2012,2012.91666666667,44,13,16,73
phs000563.v1.p1,2013,2013.41666666667,3,7,0,10
phs000564.v2.p1,2015,2015.5,141,137,0,278
phs000565.v1.p1,2012,2012.91666666667,121,71,0,192
phs000567.v1.p1,2012,2012.91666666667,13,13,0,26
phs000568.v1.p1,2013,2013,16,18,0,34
phs000571.v3.p2,2015,2015.91666666667,4354,3829,0,8183
phs000573.v1.p1,2013,2013.16666666667,67,44,17,128
phs000574.v1.p1,2017,2017.16666666667,0,0,1020,1020
phs000575.v2.p1,2020,2020.08333333333,0,0,390,390
phs000576.v1.p1,2017,2017.33333333333,0,0,245,245
phs000577.v1.p1,2017,2017.91666666667,0,0,542,542
phs000578.v1.p1,2017,2017.75,0,0,95,95
phs000579.v1.p1,2013,2013.83333333333,53,52,0,105
phs000581.v1.p1,2013,2013.41666666667,22,26,0,48
phs000582.v1.p1,2013,2013.33333333333,7,5,0,12
phs000584.v1.p1,2021,2021,925,1310,501,2736
phs000587.v1.p1,2014,2014.25,16,13,0,29
phs000588.v1.p1,2019,2019.5,0,0,194,194
phs000589.v1.p1,2019,2019.41666666667,0,0,138,138
phs000590.v1.p1,2018,2018.58333333333,0,0,71,71
phs000592.v1.p1,2017,2017.5,0,0,341,341
phs000594.v1.p1,2017,2017.41666666667,0,0,9,9
phs000595.v1.p1,2017,2017.5,0,0,617,617
phs000596.v1.p1,2017,2017.5,0,0,124,124
phs000597.v1.p1,2013,2013.83333333333,19,0,0,19
phs000598.v2.p2,2013,2013.75,84,18,198,300
phs000600.v1.p1,2013,2013.83333333333,0,230,0,230
phs000601.v1.p1,2013,2013.66666666667,0,20,0,20
phs000603.v1.p1,2018,2018.16666666667,0,0,17,17
phs000605.v1.p1,2018,2018.16666666667,0,0,111,111
phs000606.v1.p1,2018,2018.16666666667,0,0,1051,1051
phs000607.v3.p2,2018,2018.33333333333,4477,4790,729,9996
phs000614.v1.p1,2013,2013.5,0,2,0,2
phs000615.v1.p1,2014,2014.58333333333,5910,5669,0,11579
phs000616.v2.p2,2015,2015.5,480,477,627,1584
phs000618.v1.p1,2013,2013.75,2046,2304,0,4350
phs000619.v1.p1,2013,2013.58333333333,820,0,0,820
phs000620.v1.p1,2015,2015.16666666667,2824,3273,593,6690
phs000621.v1.p1,2013,2013.5,149,66,0,215
phs000622.v1.p1,2014,2014.5,1674,2061,18,3753
phs000623.v1.p1,2013,2013.58333333333,47,59,0,106
phs000624.v1.p1,2019,2019.41666666667,427,339,0,766
phs000626.v1.p1,2015,2015.58333333333,6,6,0,12
phs000627.v1.p1,2013,2013.66666666667,0,0,174,174
phs000628.v1.p1,2014,2014.75,0,5,2,7
phs000630.v1.p1,2014,2014.25,466,480,105,1051
phs000631.v1.p1,2013,2013.91666666667,2176,1595,1,3772
phs000632.v1.p1,2014,2014.08333333333,12,7,13,32
phs000633.v1.p1,2013,2013.91666666667,0,0,103,103
phs000634.v1.p1,2015,2015.41666666667,801,1519,0,2320
phs000636.v1.p1,2013,2013.58333333333,15,29,0,44
phs000637.v1.p1,2013,2013.75,650,617,0,1267
phs000638.v1.p1,2013,2013.83333333333,1341,1146,0,2487
phs000639.v1.p1,2015,2015.83333333333,465,302,38,805
phs000640.v9.p1,2020,2020.25,0,141,0,141
phs000641.v1.p1,2013,2013.58333333333,10,5,0,15
phs000644.v1.p1,2013,2013.58333333333,0,20,0,20
phs000645.v5.p1,2019,2019.16666666667,0,67,206,273
phs000646.v1.p1,2013,2013.58333333333,4,2,0,6
phs000647.v1.p1,2013,2013.58333333333,13,0,0,13
phs000648.v1.p1,2015,2015.41666666667,4717,3641,19,8377
phs000649.v2.p2,2021,2021,517,523,0,1040
phs000652.v1.p1,2013,2013.66666666667,4499,2573,0,7072
phs000656.v1.p1,2013,2013.58333333333,56,49,0,105
phs000657.v1.p1,2013,2013.58333333333,16,9,6,31
phs000658.v1.p1,2014,2014,493,945,3,1441
phs000659.v1.p1,2013,2013.75,0,0,158,158
phs000662.v1.p1,2013,2013.91666666667,299,342,0,641
phs000663.v3.p3,2021,2021.58333333333,673,882,24,1579
phs000664.v1.p1,2013,2013.75,17,17,0,34
phs000666.v1.p1,2014,2014,937,1617,0,2554
phs000669.v1.p1,2016,2016.75,55,7068,4,7127
phs000670.v1.p1,2014,2014,194,335,0,529
phs000671.v1.p1,2013,2013.75,18,2,0,20
phs000673.v4.p1,2020,2020.16666666667,2213,1912,0,4125
phs000674.v1.p1,2014,2014,32008,46478,2429,80915
phs000676.v2.p2,2017,2017.91666666667,0,193,39,232
