,n,male,female,unknown,date
271,38.0,15.0,23.0,0.0,2017/12/08
273,4.0,0.0,4.0,0.0,2018/05/03
278,13530.0,6120.0,7410.0,0.0,2020/06/18
280,19.0,11.0,8.0,0.0,2021/08/26
283,647.0,260.0,387.0,0.0,2017/09/22
286,51.0,3.0,3.0,45.0,05/26/2016
288,64.0,49.0,0.0,15.0,2018/10/22
292,6443.0,2943.0,3500.0,0.0,04/29/2016
293,41.0,19.0,22.0,0.0,2019/08/18
294,150.0,71.0,79.0,0.0,2019/10/11
296,5499.0,6.0,8.0,5485.0,2020/06/18
297,965.0,85.0,90.0,790.0,2018/03/09
302,768.0,612.0,84.0,72.0,2019/03/11
304,15.0,0.0,15.0,0.0,2020/07/10
306,98.0,62.0,9.0,27.0,2019/03/11
307,34.0,0.0,34.0,0.0,2018/08/13
308,9.0,4.0,5.0,0.0,08/09/2013
309,12054.0,6.0,6623.0,5425.0,2020/06/18
311,849.0,242.0,607.0,0.0,2021/10/19
313,10.0,0.0,10.0,0.0,2018/10/24
317,59.0,59.0,0.0,0.0,2017/09/06
321,20.0,9.0,11.0,0.0,02/23/2016
324,82.0,82.0,0.0,0.0,2019/05/15
325,1441.0,761.0,680.0,0.0,11/04/2014
326,51.0,36.0,15.0,0.0,2018/07/18
327,22.0,2.0,1.0,19.0,2021/03/30
329,10.0,2.0,8.0,0.0,2018/12/31
330,26.0,7.0,2.0,17.0,08/21/2015
332,10.0,4.0,6.0,0.0,08/20/2014
333,6443.0,2943.0,3500.0,0.0,04/29/2016
336,211.0,67.0,33.0,111.0,2018/04/20
337,79.0,7.0,30.0,42.0,2019/06/11
338,680.0,124.0,2.0,554.0,01/19/2010
339,5.0,4.0,1.0,0.0,09/29/2014
340,268.0,20.0,11.0,237.0,2017/08/02
341,2938.0,48.0,35.0,2855.0,2017/12/29
342,12.0,0.0,12.0,0.0,2020/08/19
349,4101.0,771.0,656.0,2674.0,03/24/2015
351,171.0,46.0,125.0,0.0,2020/06/25
352,600.0,277.0,323.0,0.0,2019/07/29
355,1030.0,459.0,571.0,0.0,2020/06/18
356,4658.0,0.0,4658.0,0.0,05/09/2016
357,62.0,33.0,29.0,0.0,2018/02/12
358,91.0,53.0,38.0,0.0,04/12/2012
360,6443.0,2943.0,3500.0,0.0,04/29/2016
364,6.0,5.0,1.0,0.0,2021/07/21
365,118.0,82.0,36.0,0.0,2020/12/30
366,50.0,20.0,0.0,30.0,2019/09/11
371,2.0,0.0,1.0,1.0,01/26/2015
372,225.0,91.0,132.0,2.0,2019/05/01
373,2.0,1.0,1.0,0.0,2021/05/20
375,41.0,30.0,11.0,0.0,2019/06/24
376,50.0,34.0,16.0,0.0,2021/08/25
377,5.0,3.0,2.0,0.0,2018/01/29
380,7.0,1.0,6.0,0.0,2019/03/08
381,8.0,8.0,0.0,0.0,2021/03/30
383,7.0,1.0,0.0,6.0,2018/12/28
384,391.0,2.0,207.0,182.0,2019/10/07
387,984.0,94.0,9.0,881.0,2017/11/13
389,395.0,359.0,36.0,0.0,2020/12/09
390,1441.0,493.0,945.0,3.0,01/13/2014
391,3766.0,0.0,3766.0,0.0,12/11/2012
393,12097.0,6.0,6657.0,5434.0,2020/06/18
398,22.0,0.0,22.0,0.0,04/21/2017
399,439.0,0.0,7.0,432.0,2020/01/16
403,65.0,18.0,47.0,0.0,2020/12/18
404,12.0,3.0,3.0,6.0,2018/02/27
408,88.0,0.0,16.0,72.0,2021/05/21
409,976.0,489.0,487.0,0.0,2021/03/05
410,8.0,0.0,1.0,7.0,2019/10/29
411,10.0,0.0,1.0,9.0,01/05/2016
413,27.0,10.0,17.0,0.0,01/13/2014
414,1564.0,782.0,782.0,0.0,2017/08/16
417,130.0,72.0,58.0,0.0,2021/04/06
421,24.0,0.0,24.0,0.0,2018/06/27
424,6982.0,7.0,8.0,6967.0,2020/06/18
426,300.0,94.0,47.0,159.0,2018/11/19
427,20.0,12.0,8.0,0.0,04/14/2014
429,214.0,0.0,56.0,158.0,2020/09/22
430,2573.0,990.0,1582.0,1.0,2018/04/12
434,40.0,18.0,22.0,0.0,2021/01/07
435,3.0,1.0,2.0,0.0,2019/06/24
436,15.0,7.0,8.0,0.0,2017/11/14
437,7.0,0.0,2.0,5.0,2020/09/18
438,48.0,27.0,17.0,4.0,2020/09/18
439,1442.0,668.0,774.0,0.0,10/25/2010
440,4381.0,1858.0,2523.0,0.0,2020/06/18
441,36.0,7.0,6.0,23.0,2021/07/07
444,6443.0,2943.0,3500.0,0.0,04/29/2016
445,86.0,49.0,37.0,0.0,2021/07/14
447,219.0,5.0,10.0,204.0,2019/03/28
448,565.0,81.0,94.0,390.0,2017/11/06
452,29.0,17.0,12.0,0.0,2019/10/23
453,166.0,0.0,166.0,0.0,2019/12/12
457,2.0,1.0,1.0,0.0,2018/11/07
459,68.0,7.0,10.0,51.0,2018/03/21
460,16277.0,421.0,1114.0,14742.0,2020/03/24
461,1482.0,432.0,1050.0,0.0,2018/06/14
466,7.0,2.0,4.0,1.0,09/01/2015
478,1277.0,450.0,821.0,6.0,2019/10/11
479,12.0,12.0,0.0,0.0,2021/07/06
481,123.0,13.0,4.0,106.0,2021/01/26
486,52.0,8.0,11.0,33.0,2019/10/31
487,145.0,56.0,89.0,0.0,2021/03/01
490,61.0,46.0,15.0,0.0,2020/04/14
492,38.0,0.0,19.0,19.0,08/25/2016
493,4.0,2.0,2.0,0.0,10/05/2015
494,6639.0,0.0,6639.0,0.0,2020/06/18
495,17.0,9.0,8.0,0.0,11/18/2016
497,788.0,681.0,87.0,20.0,2019/12/16
499,6443.0,2943.0,3500.0,0.0,04/29/2016
500,49.0,0.0,49.0,0.0,2018/09/17
502,1040.0,517.0,523.0,0.0,2021/01/08
505,50.0,5.0,7.0,38.0,2021/04/27
507,16.0,0.0,16.0,0.0,2021/05/21
509,25.0,16.0,9.0,0.0,2018/07/18
510,9104.0,6402.0,2702.0,0.0,2021/09/09
511,722.0,0.0,49.0,673.0,2018/09/17
515,922.0,94.0,87.0,741.0,2020/09/03
516,109.0,21.0,13.0,75.0,02/27/2017
517,61.0,35.0,26.0,0.0,2018/05/15
520,677.0,0.0,677.0,0.0,2020/12/09
521,744.0,9.0,3.0,732.0,2017/12/13
525,70.0,38.0,32.0,0.0,2021/04/23
529,10618.0,7278.0,3340.0,0.0,2018/09/17
531,9170.0,6398.0,2702.0,70.0,2021/09/09
540,1916.0,190.0,138.0,1588.0,2019/11/04
545,6178.0,2986.0,3192.0,0.0,2021/05/07
546,323.0,169.0,154.0,0.0,2019/07/25
547,23.0,8.0,15.0,0.0,2020/07/10
548,48.0,32.0,8.0,8.0,2020/12/16
552,1089.0,0.0,1089.0,0.0,2020/11/04
553,9958.0,96.0,947.0,8915.0,2018/06/22
557,16.0,9.0,7.0,0.0,2020/11/17
561,14937.0,6783.0,8154.0,0.0,2020/06/18
562,1529.0,716.0,813.0,0.0,2021/02/05
565,6443.0,2943.0,3500.0,0.0,04/29/2016
566,5188.0,814.0,724.0,3650.0,2017/12/07
567,39.0,39.0,0.0,0.0,2020/07/07
571,5953.0,570.0,525.0,4858.0,05/13/2014
572,5143.0,5135.0,4.0,4.0,2017/11/30
574,1064.0,438.0,352.0,274.0,2020/05/26
575,69.0,19.0,0.0,50.0,2017/08/17
576,1893.0,1001.0,892.0,0.0,2021/06/08
577,2847.0,729.0,788.0,1330.0,09/14/2015
579,106.0,57.0,49.0,0.0,2019/12/16
583,12.0,6.0,6.0,0.0,2019/03/28
584,41.0,26.0,13.0,2.0,2019/01/29
585,3129.0,842.0,757.0,1530.0,2021/08/19
587,4121.0,891.0,91.0,3139.0,Wed Nov 19 17:39:49 2008
588,199.0,90.0,109.0,0.0,07/14/2014
589,79.0,8.0,7.0,64.0,2020/01/10
590,5931.0,983.0,929.0,4019.0,2020/10/27
