,n,male,female,unknown,date
1146,6065.0,612.0,3470.0,1983.0,02/13/2014
1148,38.0,8.0,10.0,20.0,03/07/2016
1150,252.0,30.0,66.0,156.0,2021/01/15
1151,160.0,13.0,147.0,0.0,2018/10/02
1152,186.0,87.0,99.0,0.0,2019/08/18
1153,1271.0,653.0,618.0,0.0,2021/07/15
1154,469.0,87.0,87.0,295.0,2018/03/09
1155,122.0,0.0,122.0,0.0,2019/11/14
1156,238.0,126.0,112.0,0.0,2020/06/10
1157,30.0,5.0,9.0,16.0,2020/01/10
1158,20.0,9.0,11.0,0.0,2019/08/29
1159,2938.0,998.0,198.0,1742.0,2019/10/08
1160,6136.0,2995.0,3119.0,22.0,2019/07/16
1162,98.0,0.0,56.0,42.0,2019/12/19
1163,302.0,152.0,150.0,0.0,2019/03/11
1164,193.0,162.0,31.0,0.0,2018/03/20
1167,1342.0,532.0,800.0,10.0,2021/05/20
1168,65.0,19.0,4.0,42.0,11/30/2015
1170,2.0,0.0,1.0,1.0,05/20/2015
1179,939.0,0.0,939.0,0.0,2019/09/06
1181,6.0,3.0,3.0,0.0,01/26/2015
1182,20.0,9.0,11.0,0.0,02/23/2016
1183,879.0,879.0,0.0,0.0,2020/06/18
1186,211.0,73.0,30.0,108.0,01/09/2017
1187,14940.0,6784.0,8156.0,0.0,2020/06/18
1190,6.0,4.0,2.0,0.0,2019/05/02
1191,82.0,43.0,39.0,0.0,2017/09/19
1192,640.0,468.0,172.0,0.0,2021/08/18
1194,9.0,4.0,5.0,0.0,2020/06/18
1198,899.0,0.0,899.0,0.0,2021/05/04
1199,503.0,92.0,60.0,351.0,01/25/2016
1201,400.0,167.0,233.0,0.0,09/16/2009
1202,3128.0,1232.0,1425.0,471.0,2018/07/23
1203,1570.0,749.0,821.0,0.0,2018/05/14
1211,17.0,13.0,4.0,0.0,2021/01/26
1215,932.0,415.0,517.0,0.0,2019/10/11
1216,158.0,33.0,125.0,0.0,2020/12/15
1217,129.0,66.0,0.0,63.0,2020/01/30
1222,120.0,79.0,41.0,0.0,2021/06/23
1226,2.0,2.0,0.0,0.0,10/24/2016
1230,56906.0,6744.0,8360.0,41802.0,2020/06/18
1235,820.0,820.0,0.0,0.0,08/26/2013
1236,36.0,17.0,19.0,0.0,2019/08/01
1238,859.0,91.0,59.0,709.0,11/25/2013
1239,70.0,38.0,32.0,0.0,2021/04/23
1241,539.0,0.0,539.0,0.0,2019/02/22
1242,9917.0,3664.0,6253.0,0.0,2021/02/26
1243,219.0,5.0,10.0,204.0,2019/03/28
1247,3333.0,841.0,812.0,1680.0,2017/09/15
1248,913.0,374.0,539.0,0.0,2018/06/14
1250,300.0,94.0,47.0,159.0,2018/11/19
1253,133.0,6.0,9.0,118.0,2021/09/28
1255,113.0,38.0,32.0,43.0,2021/04/23
1260,9.0,0.0,6.0,3.0,2017/08/14
1261,424.0,199.0,225.0,0.0,04/17/2017
1264,932.0,304.0,628.0,0.0,2021/08/10
1265,6443.0,2943.0,3500.0,0.0,04/29/2016
1266,1567.0,3.0,2.0,1562.0,2017/10/10
1269,8572.0,4.0,8.0,8560.0,2018/04/12
1272,44.0,0.0,1.0,43.0,09/10/2014
1273,30.0,10.0,0.0,20.0,2021/07/19
1275,5.0,4.0,1.0,0.0,09/29/2014
1276,2.0,0.0,2.0,0.0,2018/02/20
1278,4994.0,5.0,8.0,4981.0,2020/06/10
1282,98.0,49.0,41.0,8.0,2020/02/13
1284,103.0,46.0,57.0,0.0,2020/04/29
1286,1529.0,716.0,813.0,0.0,2021/02/05
1289,426.0,93.0,85.0,248.0,2021/03/10
1290,5142.0,6.0,7.0,5129.0,2020/06/18
1292,14940.0,6784.0,8156.0,0.0,2020/06/18
1296,6443.0,2943.0,3500.0,0.0,04/29/2016
1300,6.0,3.0,3.0,0.0,05/26/2016
1301,1441.0,493.0,945.0,3.0,01/13/2014
1302,574.0,84.0,6.0,484.0,2020/02/14
1304,100.0,53.0,47.0,0.0,11/28/2011
1309,20.0,14.0,6.0,0.0,2020/03/04
1310,26.0,6.0,6.0,14.0,2020/06/18
1311,23.0,15.0,8.0,0.0,2020/04/14
1312,3239.0,878.0,797.0,1564.0,05/17/2016
1313,92.0,0.0,92.0,0.0,2020/03/02
1314,82.0,40.0,42.0,0.0,2018/11/30
1317,6443.0,2943.0,3500.0,0.0,04/29/2016
1319,3747.0,3747.0,0.0,0.0,2021/03/17
1326,822.0,684.0,94.0,44.0,2019/03/11
1327,1.0,0.0,1.0,0.0,2017/11/07
1329,6443.0,2943.0,3500.0,0.0,04/29/2016
1330,2746.0,1691.0,1055.0,0.0,05/16/2017
1331,378.0,134.0,26.0,218.0,2021/09/24
1332,16.0,8.0,8.0,0.0,2021/03/11
1337,3129.0,842.0,757.0,1530.0,2021/08/19
1338,1089.0,0.0,1089.0,0.0,2020/11/04
1339,101.0,18.0,20.0,63.0,2021/05/10
1341,88.0,0.0,88.0,0.0,2018/02/08
1342,348.0,94.0,8.0,246.0,2021/06/23
1344,6.0,2.0,1.0,3.0,02/02/2016
1345,443.0,163.0,280.0,0.0,2021/02/12
1351,537.0,527.0,6.0,4.0,05/08/2015
1352,4.0,3.0,1.0,0.0,08/04/2015
1354,1069.0,509.0,560.0,0.0,2021/06/10
1356,120.0,59.0,0.0,61.0,2017/09/06
1358,10.0,0.0,3.0,7.0,2020/09/29
1361,1505.0,0.0,539.0,966.0,2019/02/22
1363,932.0,304.0,628.0,0.0,2021/08/10
1364,5053.0,932.0,892.0,3229.0,11/15/2013
1367,2856.0,1.0,5.0,2850.0,2021/08/20
1368,81.0,72.0,9.0,0.0,2017/10/25
1369,125.0,68.0,57.0,0.0,11/16/2015
1371,1.0,0.0,1.0,0.0,2019/10/29
1372,9955.0,596.0,767.0,8592.0,08/14/2014
1373,993.0,894.0,99.0,0.0,02/18/2016
1374,1014.0,606.0,400.0,8.0,2019/02/05
1376,720.0,392.0,323.0,5.0,2021/07/30
1377,4384.0,807.0,928.0,2649.0,2020/10/01
1381,3446.0,1428.0,2018.0,0.0,03/26/2015
1382,7.0,7.0,0.0,0.0,2020/01/07
1385,764.0,406.0,357.0,1.0,06/09/2015
1387,5196.0,2788.0,791.0,1617.0,2018/04/05
1390,32.0,5.0,3.0,24.0,2021/02/11
1393,415.0,232.0,183.0,0.0,2021/05/04
1394,1217.0,330.0,472.0,415.0,2021/07/02
1396,6372.0,6.0,8.0,6358.0,2020/06/18
1398,3.0,0.0,3.0,0.0,2020/10/09
1400,42.0,12.0,9.0,21.0,2017/08/24
1407,7.0,2.0,4.0,1.0,09/01/2015
1408,724.0,419.0,48.0,257.0,2020/04/15
1411,14853.0,6743.0,8110.0,0.0,2020/06/18
1412,599.0,317.0,282.0,0.0,2021/03/23
1413,35.0,0.0,35.0,0.0,2019/11/14
1414,202.0,71.0,131.0,0.0,04/05/2017
1416,326.0,64.0,51.0,211.0,2021/02/22
1418,180.0,0.0,112.0,68.0,12/18/2014
1419,73.0,40.0,33.0,0.0,08/08/2011
1420,752.0,201.0,551.0,0.0,2018/06/14
1421,1490.0,0.0,1463.0,27.0,2018/06/21
1422,2130.0,171.0,136.0,1823.0,2019/04/10
1424,90.0,36.0,54.0,0.0,2017/11/30
1426,3877.0,904.0,2163.0,810.0,07/25/2013
1427,1579.0,669.0,880.0,30.0,2021/08/31
1428,4761.0,3903.0,858.0,0.0,2019/03/05
1429,3638.0,5.0,3629.0,4.0,2020/11/27
1432,109.0,71.0,38.0,0.0,2018/01/18
1436,2.0,0.0,2.0,0.0,2020/04/27
1437,984.0,94.0,9.0,881.0,2017/11/13
1439,38.0,2.0,4.0,32.0,2020/10/27
1443,19.0,3.0,16.0,0.0,2021/05/18
1449,5079.0,828.0,865.0,3386.0,2018/07/23
1450,17.0,0.0,17.0,0.0,12/07/2015
1453,5.0,2.0,3.0,0.0,06/21/2016
1455,4125.0,731.0,557.0,2837.0,2020/03/12
1458,986.0,71.0,74.0,841.0,2019/03/11
1459,98.0,46.0,52.0,0.0,05/11/2016
1461,6443.0,2943.0,3500.0,0.0,04/29/2016
1465,791.0,113.0,111.0,567.0,2020/05/07
1467,13.0,2.0,0.0,11.0,10/24/2016
1468,9.0,3.0,6.0,0.0,01/13/2016
1469,323.0,169.0,154.0,0.0,2019/07/25
1472,9.0,0.0,7.0,2.0,04/15/2014
1473,2385.0,741.0,1643.0,1.0,2020/03/24
1476,475.0,236.0,239.0,0.0,2018/04/23
1478,8.0,2.0,6.0,0.0,03/13/2015
1479,784.0,419.0,365.0,0.0,07/26/2017
1481,6443.0,2943.0,3500.0,0.0,04/29/2016
1483,5199.0,1170.0,1785.0,2244.0,2019/10/11
1484,6443.0,2943.0,3500.0,0.0,04/29/2016
1485,13480.0,6104.0,7376.0,0.0,2020/06/18
1487,26.0,12.0,14.0,0.0,01/23/2017
1491,39.0,29.0,10.0,0.0,2020/04/29
1494,6443.0,2943.0,3500.0,0.0,04/29/2016
1495,553.0,260.0,293.0,0.0,2018/02/08
1497,365.0,321.0,44.0,0.0,2017/09/22
1498,768.0,612.0,84.0,72.0,2019/03/11
1503,50.0,34.0,16.0,0.0,2021/08/25
1504,71.0,37.0,34.0,0.0,2021/05/24
1508,7.0,1.0,0.0,6.0,2018/12/28
1509,2.0,1.0,1.0,0.0,2018/11/07
1511,82.0,68.0,7.0,7.0,2018/10/31
1513,2917.0,998.0,198.0,1721.0,2019/10/08
1518,395.0,359.0,36.0,0.0,2020/12/09
1521,77.0,40.0,37.0,0.0,10/16/2014
1530,9.0,4.0,5.0,0.0,2020/06/18
1532,883.0,382.0,501.0,0.0,2019/07/29
1533,6443.0,2943.0,3500.0,0.0,04/29/2016
1534,2748.0,1298.0,1450.0,0.0,2021/09/23
1535,30.0,20.0,10.0,0.0,2017/09/22
1536,20.0,6.0,6.0,8.0,05/19/2014
1537,2385.0,741.0,1643.0,1.0,2020/03/24
1541,24577.0,12416.0,12161.0,0.0,2021/08/13
1543,1580.0,994.0,586.0,0.0,2019/03/22
1544,3.0,0.0,3.0,0.0,2020/10/09
1545,9.0,4.0,2.0,3.0,2019/06/13
1546,32.0,5.0,3.0,24.0,2021/02/11
1550,525.0,525.0,0.0,0.0,2019/10/30
1551,41.0,18.0,23.0,0.0,2021/07/13
1553,89.0,36.0,53.0,0.0,2020/01/10
1556,2554.0,10.0,17.0,2527.0,01/13/2014
1557,78.0,11.0,18.0,49.0,2021/02/12
1558,957.0,722.0,69.0,166.0,2019/12/16
1560,919.0,919.0,0.0,0.0,2021/03/30
1562,6443.0,2943.0,3500.0,0.0,04/29/2016
1565,899.0,0.0,899.0,0.0,2021/05/04
1578,39.0,29.0,8.0,2.0,2020/01/21
1582,12.0,10.0,2.0,0.0,08/26/2013
1583,3.0,2.0,1.0,0.0,2018/10/30
1584,242.0,130.0,112.0,0.0,2019/11/22
1585,7.0,0.0,1.0,6.0,10/27/2014
1588,87.0,50.0,37.0,0.0,2019/07/26
1590,2860.0,2.0,1325.0,1533.0,2020/06/18
1591,250.0,68.0,57.0,125.0,11/16/2015
1593,19.0,12.0,7.0,0.0,11/02/2015
1595,3.0,2.0,1.0,0.0,2021/03/17
1596,6443.0,2943.0,3500.0,0.0,04/29/2016
1597,36.0,19.0,17.0,0.0,2021/04/07
1604,624.0,0.0,624.0,0.0,2020/11/27
1605,72.0,36.0,36.0,0.0,2021/03/24
1606,5199.0,1170.0,1785.0,2244.0,2019/10/11
1611,271.0,127.0,144.0,0.0,09/03/2014
1614,7553.0,1224.0,2.0,6327.0,2020/06/18
1615,9.0,0.0,9.0,0.0,2019/12/09
1620,62.0,22.0,4.0,36.0,2019/10/15
1621,82.0,24.0,7.0,51.0,2019/09/19
1624,230.0,0.0,115.0,115.0,11/12/2013
1625,19.0,0.0,19.0,0.0,08/25/2016
1627,1787.0,0.0,1787.0,0.0,2020/06/18
1629,60.0,2.0,45.0,13.0,12/16/2013
1631,4.0,2.0,2.0,0.0,06/01/2012
1632,2192.0,568.0,555.0,1069.0,2021/05/07
1638,41.0,14.0,10.0,17.0,2020/12/10
1640,5218.0,814.0,724.0,3680.0,2017/12/07
1641,4824.0,9.0,89.0,4726.0,2020/08/17
1642,52.0,18.0,15.0,19.0,2019/10/16
1643,277.0,2.0,275.0,0.0,2020/04/14
1647,106.0,51.0,54.0,1.0,2018/05/15
1648,109.0,6.0,7.0,96.0,06/27/2017
1651,92.0,18.0,28.0,46.0,2019/03/18
1653,4.0,4.0,0.0,0.0,2020/06/18
1654,11745.0,706.0,643.0,10396.0,11/04/2014
1657,2.0,2.0,0.0,0.0,2021/08/20
1659,697.0,379.0,316.0,2.0,2019/02/11
1663,1.0,0.0,1.0,0.0,07/22/2013
1664,93.0,31.0,22.0,40.0,12/20/2016
1669,7298.0,5982.0,841.0,475.0,01/05/2016
1670,7870.0,828.0,865.0,6177.0,2018/07/23
1673,680.0,680.0,0.0,0.0,2018/12/10
1675,1315.0,565.0,750.0,0.0,01/29/2015
1676,837.0,372.0,465.0,0.0,2021/08/06
1679,9323.0,0.0,9323.0,0.0,2017/08/25
1680,2323.0,2323.0,0.0,0.0,2020/06/18
1683,14576.0,6616.0,7960.0,0.0,2020/06/18
1684,72.0,5.0,7.0,60.0,11/16/2015
1689,321.0,234.0,87.0,0.0,2018/05/15
1690,2096.0,936.0,123.0,1037.0,2019/04/25
1691,17152.0,7956.0,9127.0,69.0,2019/10/25
1694,2472.0,2.0,0.0,2470.0,2019/03/15
1696,4.0,2.0,2.0,0.0,11/21/2016
1698,88.0,0.0,88.0,0.0,2018/02/08
1699,6076.0,6076.0,0.0,0.0,2020/02/19
1700,14595.0,6623.0,7972.0,0.0,2020/06/18
1702,464.0,92.0,372.0,0.0,2019/04/15
1703,436.0,436.0,0.0,0.0,2020/06/18
1704,5152.0,0.0,5152.0,0.0,09/02/2015
1708,983.0,5.0,517.0,461.0,2021/06/16
1714,6443.0,2943.0,3500.0,0.0,04/29/2016
1716,81.0,7.0,8.0,66.0,2018/11/05
1717,1493.0,0.0,1493.0,0.0,06/01/2010
1718,8.0,6.0,2.0,0.0,2018/10/24
1720,19313.0,1691.0,1055.0,16567.0,05/16/2017
1723,15.0,10.0,5.0,0.0,08/21/2013
1724,40.0,9.0,20.0,11.0,2020/08/05
1725,7.0,5.0,2.0,0.0,2021/07/16
1726,4.0,2.0,2.0,0.0,10/05/2015
1727,12092.0,6.0,6656.0,5430.0,2020/06/18
1732,6.0,4.0,2.0,0.0,2019/06/13
1733,335.0,74.0,30.0,231.0,2020/09/18
1736,41.0,24.0,17.0,0.0,2021/08/26
1737,38.0,18.0,20.0,0.0,2021/05/10
1739,91.0,8.0,8.0,75.0,2019/06/19
1740,5351.0,1517.0,1529.0,2305.0,2020/06/18
1741,1567.0,3.0,2.0,1562.0,2017/10/10
1743,2323.0,2323.0,0.0,0.0,2020/06/18
1744,153.0,65.0,86.0,2.0,2018/10/05
1746,29.0,13.0,13.0,3.0,2020/09/02
1748,96.0,30.0,66.0,0.0,2021/01/15
1749,186.0,87.0,99.0,0.0,2019/08/18
1750,4814.0,819.0,767.0,3228.0,2021/08/23
1751,983.0,72.0,628.0,283.0,06/22/2016
1752,23.0,9.0,1.0,13.0,2021/07/21
1754,9996.0,4836.0,5159.0,1.0,2018/05/01
1756,189.0,101.0,88.0,0.0,2020/08/26
1758,2746.0,1691.0,1055.0,0.0,05/16/2017
1763,95.0,1.0,24.0,70.0,2021/08/30
1767,1309.0,425.0,884.0,0.0,2019/08/06
1768,1.0,1.0,0.0,0.0,2018/06/20
1770,113.0,89.0,24.0,0.0,2021/08/30
1772,324.0,179.0,145.0,0.0,07/12/2017
1778,390.0,177.0,213.0,0.0,2020/02/14
1780,18.0,4.0,0.0,14.0,2021/03/31
1782,17.0,9.0,8.0,0.0,11/18/2016
1785,7377.0,3546.0,3831.0,0.0,03/03/2015
1790,41.0,22.0,8.0,11.0,2019/03/25
1793,6443.0,2943.0,3500.0,0.0,04/29/2016
1794,17.0,0.0,17.0,0.0,12/07/2015
1795,633.0,382.0,41.0,210.0,09/25/2015
1797,715.0,360.0,355.0,0.0,2020/11/19
1798,166.0,65.0,101.0,0.0,2020/06/18
1800,6.0,3.0,3.0,0.0,2018/02/27
1802,78.0,19.0,17.0,42.0,2021/04/07
1803,6018.0,0.0,6018.0,0.0,2020/06/18
1804,46.0,5.0,2.0,39.0,2019/03/28
1808,3625.0,0.0,3625.0,0.0,2020/11/27
1811,12980.0,6.0,7246.0,5728.0,2020/06/18
1812,2142.0,631.0,904.0,607.0,12/02/2016
1814,12107.0,6.0,6661.0,5440.0,2020/06/18
1815,6443.0,2943.0,3500.0,0.0,04/29/2016
1816,26.0,8.0,4.0,14.0,2018/04/30
1819,244.0,116.0,128.0,0.0,05/24/2017
1820,26.0,13.0,13.0,0.0,12/17/2012
1821,74.0,21.0,53.0,0.0,2021/05/07
1827,131.0,82.0,36.0,13.0,2020/12/30
1828,1787.0,0.0,1787.0,0.0,2020/06/18
1834,4761.0,3903.0,858.0,0.0,2019/03/05
1836,5464.0,2791.0,2673.0,0.0,2021/08/17
1839,34.0,8.0,9.0,17.0,01/02/2013
1843,1081.0,559.0,522.0,0.0,Wed Nov 26 07:45:09 2008
1844,752.0,201.0,551.0,0.0,2018/06/14
1848,910.0,716.0,194.0,0.0,12/19/2011
1851,51.0,36.0,15.0,0.0,2018/07/18
1852,12.0,0.0,12.0,0.0,2020/07/10
1854,33.0,7.0,8.0,18.0,08/04/2014
1855,812.0,0.0,812.0,0.0,2021/07/21
1856,2746.0,1691.0,1055.0,0.0,05/16/2017
1858,262.0,85.0,177.0,0.0,2019/06/04
1860,53.0,9.0,4.0,40.0,2021/01/06
1862,6443.0,2943.0,3500.0,0.0,04/29/2016
1867,59.0,27.0,31.0,1.0,2017/10/19
1868,10790.0,4759.0,6028.0,3.0,2020/06/18
1869,12027.0,5029.0,6994.0,4.0,2021/08/08
1870,22848.0,9873.0,12975.0,0.0,2021/04/08
1873,4092.0,3990.0,0.0,102.0,07/18/2014
1874,5.0,1.0,4.0,0.0,07/28/2014
1876,234.0,8.0,0.0,226.0,2020/11/30
1877,21.0,12.0,9.0,0.0,2017/08/24
1879,485.0,142.0,343.0,0.0,2020/01/10
1881,26.0,11.0,15.0,0.0,2020/06/18
1883,35.0,3.0,9.0,23.0,2017/12/04
1886,234.0,0.0,42.0,192.0,2018/01/08
1892,37.0,15.0,22.0,0.0,2018/05/17
1894,824.0,454.0,370.0,0.0,2019/10/22
1895,333.0,47.0,75.0,211.0,2019/07/22
1896,3147.0,645.0,790.0,1712.0,2019/04/23
1897,6443.0,2943.0,3500.0,0.0,04/29/2016
1902,12050.0,5031.0,7019.0,0.0,2021/08/08
1903,896.0,301.0,595.0,0.0,06/27/2011
1905,192.0,121.0,71.0,0.0,12/06/2012
1906,46.0,30.0,3.0,13.0,2018/06/01
1912,13.0,6.0,7.0,0.0,11/15/2012
1915,26.0,7.0,2.0,17.0,08/21/2015
1918,173.0,118.0,55.0,0.0,2021/05/20
1919,3.0,2.0,1.0,0.0,2021/03/17
1920,429.0,79.0,235.0,115.0,2019/10/28
1923,13155.0,10464.0,2691.0,0.0,2019/03/27
1924,1698.0,372.0,465.0,861.0,2021/08/06
1926,60.0,4.0,8.0,48.0,2020/03/31
1927,35.0,0.0,35.0,0.0,09/15/2016
1928,21.0,7.0,14.0,0.0,2017/09/12
1929,334.0,0.0,334.0,0.0,2018/12/14
1930,9721.0,596.0,767.0,8358.0,08/14/2014
1931,2297.0,97.0,644.0,1556.0,2020/05/05
1933,806.0,6.0,7.0,793.0,2021/03/24
1938,41.0,30.0,11.0,0.0,2019/06/24
1939,4391.0,2769.0,1622.0,0.0,07/25/2014
1940,62.0,9.0,35.0,18.0,2019/06/24
1944,603.0,292.0,311.0,0.0,2019/07/31
1945,80.0,30.0,50.0,0.0,09/10/2013
1946,27.0,8.0,8.0,11.0,02/22/2013
1947,16.0,0.0,15.0,1.0,2018/05/22
1948,848.0,2.0,1.0,845.0,08/21/2014
1952,4141.0,0.0,4141.0,0.0,12/11/2015
1953,34.0,21.0,7.0,6.0,2020/07/24
1954,3117.0,7.0,5.0,3105.0,2020/09/28
1958,80.0,34.0,45.0,1.0,2017/12/04
1961,1033.0,441.0,592.0,0.0,11/24/2010
1962,268.0,178.0,90.0,0.0,2021/03/05
1963,9201.0,5431.0,3770.0,0.0,2020/04/24
1965,6443.0,2943.0,3500.0,0.0,04/29/2016
1966,9.0,6.0,3.0,0.0,2021/08/05
1971,38.0,2.0,4.0,32.0,2020/10/27
1972,7.0,3.0,4.0,0.0,2020/06/18
1975,2579.0,1764.0,815.0,0.0,2020/01/07
1977,6443.0,2943.0,3500.0,0.0,04/29/2016
1980,25.0,8.0,10.0,7.0,06/20/2014
1983,56.0,9.0,7.0,40.0,2021/07/16
1986,568.0,314.0,67.0,187.0,2019/07/26
1987,6136.0,2995.0,3119.0,22.0,2019/07/16
1988,279.0,177.0,99.0,3.0,2020/07/10
1991,279.0,177.0,99.0,3.0,2020/07/10
1993,6042.0,4620.0,755.0,667.0,08/17/2010
1996,129.0,0.0,123.0,6.0,2020/07/17
2001,181.0,77.0,104.0,0.0,2018/09/26
2003,12.0,2.0,3.0,7.0,2020/03/05
2004,40.0,22.0,18.0,0.0,2021/06/16
2006,905.0,573.0,34.0,298.0,2020/01/07
2009,6.0,3.0,3.0,0.0,01/26/2015
2010,767.0,465.0,70.0,232.0,11/02/2015
2014,15.0,5.0,10.0,0.0,2019/03/28
2015,5911.0,983.0,923.0,4005.0,2020/10/27
2017,94.0,49.0,45.0,0.0,2017/10/11
2020,40.0,22.0,18.0,0.0,2021/06/16
2021,12.0,2.0,3.0,7.0,2020/03/05
2024,537.0,527.0,6.0,4.0,05/08/2015
2026,78.0,29.0,49.0,0.0,2019/03/18
2027,641.0,299.0,342.0,0.0,12/17/2013
2028,9201.0,5431.0,3770.0,0.0,2020/04/24
2030,3085.0,1578.0,1507.0,0.0,2021/06/03
2033,64.0,20.0,17.0,27.0,2018/01/11
2035,1093.0,575.0,512.0,6.0,2018/08/18
2036,70981.0,0.0,9250.0,61731.0,11/08/2013
2038,555.0,320.0,235.0,0.0,05/12/2015
2043,101.0,44.0,57.0,0.0,2018/02/27
2047,194.0,42.0,151.0,1.0,2019/07/26
2055,11966.0,6.0,6575.0,5385.0,2020/06/18
2056,76.0,7.0,9.0,60.0,2018/10/19
2058,99622.0,99622.0,0.0,0.0,2017/11/06
2060,3778.0,5.0,3629.0,144.0,2020/11/27
2061,33.0,21.0,12.0,0.0,2020/08/04
2063,34.0,14.0,20.0,0.0,2019/12/17
2064,4793.0,469.0,583.0,3741.0,2020/02/04
2065,3001.0,645.0,721.0,1635.0,2019/04/23
2067,5415.0,709.0,475.0,4231.0,2019/08/10
2068,356.0,36.0,53.0,267.0,2020/01/10
2070,30.0,24.0,6.0,0.0,04/22/2014
2071,338.0,154.0,184.0,0.0,2020/08/20
2075,164.0,82.0,0.0,82.0,2019/05/15
2076,5187.0,6.0,7.0,5174.0,2020/06/18
2077,6.0,0.0,6.0,0.0,2020/06/18
2079,4929.0,2050.0,2878.0,1.0,02/05/2016
2082,16.0,0.0,16.0,0.0,09/10/2015
2084,476.0,316.0,152.0,8.0,2021/07/13
2085,8.0,8.0,0.0,0.0,2021/03/30
2086,63.0,9.0,5.0,49.0,2017/10/03
2088,2969.0,1168.0,1786.0,15.0,10/21/2015
2089,79.0,8.0,7.0,64.0,2020/01/10
2090,5925.0,3687.0,2179.0,59.0,2021/08/24
2091,1887.0,721.0,1165.0,1.0,2018/04/12
2093,4384.0,807.0,928.0,2649.0,2020/10/01
2094,4509.0,222.0,317.0,3970.0,2018/06/01
2095,80.0,4.0,9.0,67.0,2017/08/22
2096,592.0,241.0,351.0,0.0,11/14/2016
2097,15.0,6.0,3.0,6.0,08/30/2013
2098,3209.0,737.0,1628.0,844.0,2021/06/08
2100,2497.0,0.0,2497.0,0.0,2020/06/18
2107,1323.0,856.0,467.0,0.0,2020/11/30
2112,4594.0,0.0,4594.0,0.0,2019/05/07
2115,638.0,407.0,231.0,0.0,2020/06/02
2118,12.0,7.0,5.0,0.0,2017/10/10
2119,2793.0,1313.0,1480.0,0.0,2020/06/30
2124,30.0,13.0,2.0,15.0,08/26/2013
2126,54.0,7.0,14.0,33.0,2021/02/04
2127,53.0,6.0,11.0,36.0,2019/10/08
2128,32.0,3.0,8.0,21.0,01/13/2016
2130,54.0,15.0,26.0,13.0,2019/11/12
2132,2487.0,1341.0,1146.0,0.0,11/20/2013
2134,394.0,138.0,59.0,197.0,08/29/2016
2138,112.0,31.0,16.0,65.0,2020/02/25
2142,9267.0,4477.0,4790.0,0.0,2018/05/01
2143,30.0,5.0,5.0,20.0,2018/11/21
2144,4808.0,568.0,750.0,3490.0,2020/02/04
2145,9.0,9.0,0.0,0.0,2017/09/27
2146,721.0,47.0,50.0,624.0,06/14/2017
2147,1024.0,419.0,605.0,0.0,11/13/2015
2149,540.0,2.0,0.0,538.0,2020/11/03
2153,12092.0,6.0,6656.0,5430.0,2020/06/18
2155,3.0,2.0,1.0,0.0,08/15/2012
2157,17.0,7.0,10.0,0.0,09/11/2014
2164,14.0,9.0,5.0,0.0,2017/10/03
2165,8005.0,4063.0,3942.0,0.0,08/20/2015
2166,905.0,573.0,34.0,298.0,2020/01/07
2169,1231.0,743.0,488.0,0.0,12/19/2011
2170,6443.0,2943.0,3500.0,0.0,04/29/2016
2171,23.0,0.0,23.0,0.0,2018/09/17
2173,1854.0,573.0,1279.0,2.0,2021/06/09
2174,2597.0,638.0,677.0,1282.0,05/26/2011
2175,35.0,23.0,12.0,0.0,2018/12/06
2177,80.0,72.0,8.0,0.0,2020/10/14
2179,338.0,154.0,184.0,0.0,2020/08/20
2184,22.0,14.0,4.0,4.0,2020/06/15
2190,2192.0,568.0,555.0,1069.0,2021/05/07
2191,10.0,0.0,10.0,0.0,2018/10/24
2194,7440.0,7440.0,0.0,0.0,08/29/2016
2195,573.0,341.0,232.0,0.0,2020/06/02
2197,6.0,3.0,3.0,0.0,2021/05/24
2199,4.0,0.0,4.0,0.0,2020/06/18
2200,3888.0,1792.0,2096.0,0.0,2020/11/09
2201,25.0,6.0,7.0,12.0,2019/08/05
2202,108.0,73.0,30.0,5.0,01/09/2017
2204,120.0,79.0,41.0,0.0,2021/06/23
2208,45.0,8.0,9.0,28.0,08/24/2009
2209,31.0,6.0,3.0,22.0,08/30/2013
2211,2095.0,1240.0,855.0,0.0,2019/09/16
2214,381.0,199.0,182.0,0.0,03/31/2015
2218,312.0,195.0,117.0,0.0,2018/04/20
2220,1615.0,392.0,370.0,853.0,2020/07/17
2223,15.0,6.0,9.0,0.0,2021/09/28
2225,65.0,19.0,4.0,42.0,11/30/2015
2227,106.0,106.0,0.0,0.0,2021/04/28
2228,5320.0,815.0,764.0,3741.0,2021/08/23
2229,7491.0,15.0,1909.0,5567.0,2020/09/18
2237,8.0,8.0,0.0,0.0,05/02/2011
2238,25.0,1.0,24.0,0.0,2021/08/30
2240,943.0,459.0,484.0,0.0,2021/07/29
2243,520.0,146.0,374.0,0.0,2020/01/10
2244,3360.0,1534.0,1717.0,109.0,2020/11/09
2246,55.0,12.0,14.0,29.0,2018/07/23
2247,338.0,154.0,184.0,0.0,2020/08/20
2248,6443.0,2943.0,3500.0,0.0,04/29/2016
2252,282.0,38.0,23.0,221.0,2020/12/15
2253,3.0,0.0,2.0,1.0,2020/03/04
2254,874.0,341.0,466.0,67.0,2020/06/18
2255,1980.0,980.0,1000.0,0.0,10/25/2011
2256,987.0,690.0,297.0,0.0,2020/03/09
2257,39.0,3.0,16.0,20.0,2021/05/18
2259,1901.0,913.0,988.0,0.0,11/13/2015
2261,5274.0,5135.0,4.0,135.0,2017/11/30
