"","dbgap_study_id","male","female","total","date_study","repository"
"1424","phs000504.v2.pht002822.v2.p2",55,37,92,"11/27/2013","dbgap"
"1425","phs000086.v3.pht000248.v1.p1",761,680,1441,"11/04/2014","dbgap"
"1426","phs000456.v1.pht002640.v1.p1",1441,1202,2643,"05/02/2012","dbgap"
"1427","phs002015.v1.pht010393.v1.p1",66,71,137,"2020/09/18","dbgap"
"1428","phs001741.v1.pht009162.v1.p1",573,332,905,"2020/01/07","dbgap"
"1429","phs000001.v3.pht000370.v2.p1",405,582,987,"02/24/2012","dbgap"
"1430","phs001808.v1.pht008972.v1.p1",4,10,14,"2019/04/19","dbgap"
"1431","phs001774.v1.pht008802.v1.p1",22,28,50,"2020/02/27","dbgap"
"1432","phs000636.v1.pht003426.v1.p1",32,44,76,"08/09/2013","dbgap"
"1433","phs001954.v1.pht009798.v1.p1",36,53,89,"2020/01/10","dbgap"
"1434","phs000128.v3.pht000471.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1435","phs001108.v1.pht007715.v1.p1",10,36,46,"2018/03/30","dbgap"
"1436","phs000972.v5.pht005680.v2.p1",532,800,1332,"2021/05/20","dbgap"
"1437","phs000609.v1.pht003285.v1.p1",18,9,27,"05/14/2013","dbgap"
"1438","phs001662.v2.pht010060.v1.p1",843,758,1601,"2021/08/19","dbgap"
"1439","phs001573.v1.pht010177.v1.p1",29,10,39,"2020/04/29","dbgap"
"1440","phs000280.v7.pht004101.v5.p1",1019,1152,2171,"2020/06/18","dbgap"
"1441","phs000888.v1.pht004681.v1.p1",25246,29783,55029,"08/12/2016","dbgap"
"1443","phs000888.v1.pht005553.v1.p1",420,162,582,"08/12/2016","dbgap"
"1444","phs002408.v1.pht011161.v1.p1",4,3,7,"2021/04/28","dbgap"
"1445","phs000658.v1.pht003496.v1.p1",493,945,1438,"01/13/2014","dbgap"
"1448","phs000690.v1.pht003619.v1.p1",97,120,217,"12/16/2013","dbgap"
"1449","phs000337.v1.pht005336.v1.p1",56,38,94,"03/15/2016","dbgap"
"1450","phs000639.v1.pht004780.v1.p1",465,302,767,"11/02/2015","dbgap"
"1451","phs001084.v1.pht005327.v1.p1",8,10,18,"03/07/2016","dbgap"
"1452","phs000280.v7.pht004097.v2.p1",4408,5411,9819,"2020/06/18","dbgap"
"1454","phs000571.v3.pht003180.v3.p2",1653,1220,2873,"12/01/2015","dbgap"
"1455","phs001380.v1.pht009234.v1.p1",266,172,438,"2019/10/11","dbgap"
"1456","phs002055.v1.pht010345.v1.p1",177,99,276,"2020/07/10","dbgap"
"1457","phs001221.v1.pht007157.v1.p1",34944,461,35405,"2020/02/19","dbgap"
"1458","phs001895.v2.pht009443.v2.p1",184,102,286,"2020/01/02","dbgap"
"1459","phs001571.v1.pht009505.v1.p1",964,1270,2234,"2020/08/06","dbgap"
"1460","phs001879.v1.pht009455.v1.p1",92,77,169,"2019/09/19","dbgap"
"1461","phs000088.v1.pht000712.v1.p1",1427,1595,3022,"Tue Nov 18 09:14:37 2008","dbgap"
"1462","phs001318.v1.pht008036.v1.p1",27,13,40,"2018/05/31","dbgap"
"1463","phs000414.v1.pht002731.v1.p1",9,8,17,"05/11/2012","dbgap"
"1464","phs001697.v1.pht010576.v1.p1",57,175,232,"2021/01/12","dbgap"
"1465","phs001841.v1.pht009906.v1.p1",327,225,552,"2020/06/02","dbgap"
"1466","phs000280.v7.pht004037.v3.p1",6697,8046,14743,"2020/06/18","dbgap"
"1467","phs002632.v1.pht011605.v1.p1",242,607,849,"2021/10/19","dbgap"
"1469","phs000741.v2.pht003915.v2.p1",4251,4157,8408,"11/14/2016","dbgap"
"1470","phs001157.v1.pht005805.v1.p1",4331,4696,9027,"04/17/2017","dbgap"
"1471","phs000430.v1.pht003055.v1.p1",696,270,966,"06/20/2013","dbgap"
"1472","phs000669.v1.pht003730.v1.p1",34,6855,6889,"10/18/2016","dbgap"
"1474","phs001368.v3.pht007958.v3.p2",2068,2809,4877,"2021/08/24","dbgap"
"1475","phs000222.v6.pht007353.v1.p2",490,849,1339,"2019/08/01","dbgap"
"1476","phs000313.v4.pht002395.v3.p2",845,1232,2077,"2017/11/22","dbgap"
"1477","phs001389.v1.pht006602.v1.p1",6,7,13,"06/27/2017","dbgap"
"1478","phs000263.v1.pht001235.v1.p1",40,54,94,"06/14/2010","dbgap"
"1479","phs001792.v1.pht008931.v1.p1",92,372,464,"2019/04/15","dbgap"
"1480","phs001326.v1.pht007812.v1.p1",3,1,4,"2018/04/16","dbgap"
"1481","phs000285.v3.pht001698.v2.p2",947,1065,2012,"08/20/2013","dbgap"
"1482","phs001544.v2.pht009896.v1.p1",114,7,121,"2021/07/09","dbgap"
"1483","phs002493.v1.pht011463.v1.p1",57,32,89,"2021/09/21","dbgap"
"1484","phs000347.v1.pht003126.v1.p1",19,10,29,"07/09/2013","dbgap"
"1485","phs001368.v3.pht007957.v3.p2",2068,2809,4877,"2021/08/24","dbgap"
"1486","phs000697.v1.pht007703.v1.p1",21,4,25,"2018/03/26","dbgap"
"1487","phs001677.v1.pht008377.v1.p1",182,911,1093,"2018/09/17","dbgap"
"1488","phs000606.v1.pht007568.v1.p1",744,275,1019,"2018/03/09","dbgap"
"1490","phs001385.v1.pht007166.v1.p1",24,165,189,"2017/12/04","dbgap"
"1491","phs000304.v3.pht004468.v1.p1",437,729,1166,"2018/05/03","dbgap"
"1492","phs000748.v7.pht003887.v7.p4",606,400,1006,"2019/02/05","dbgap"
"1493","phs000971.v3.pht004917.v3.p1",646,831,1477,"2021/06/07","dbgap"
"1494","phs000007.v32.pht000078.v8.p13",1462,1708,3170,"2020/12/21","dbgap"
"1495","phs001712.v1.pht008680.v1.p1",2,1,3,"2019/01/31","dbgap"
"1496","phs001723.v1.pht009726.v1.p1",2384,2409,4793,"2020/02/04","dbgap"
"1497","phs000624.v1.pht009129.v1.p1",345,277,622,"2019/06/03","dbgap"
"1498","phs000710.v1.pht003986.v1.p1",1,2,3,"04/29/2015","dbgap"
"1499","phs000578.v1.pht007005.v1.p1",44,36,80,"2017/10/11","dbgap"
"1500","phs001400.v1.pht006822.v1.p1",2,2,4,"2017/11/09","dbgap"
"1501","phs001328.v1.pht006308.v1.p1",52,37,89,"05/17/2017","dbgap"
"1503","phs001419.v1.pht007087.v1.p1",489,501,990,"2017/12/04","dbgap"
"1504","phs002071.v1.pht010454.v1.p1",14,10,24,"2020/12/10","dbgap"
"1505","phs000756.v1.pht008613.v1.p1",4392,4943,9335,"2018/12/27","dbgap"
"1506","phs000265.v3.pht001275.v3.p1",34,31,65,"10/17/2011","dbgap"
"1507","phs001327.v2.pht011185.v1.p1",13721,11937,25658,"2021/05/07","dbgap"
"1508","phs001512.v1.pht007666.v1.p1",7,10,17,"2018/03/21","dbgap"
"1509","phs000209.v13.pht004321.v1.p3",2813,3040,5853,"11/05/2014","dbgap"
"1511","phs000128.v3.pht000517.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1513","phs000824.v1.pht005137.v1.p1",37,63,100,"11/24/2015","dbgap"
"1514","phs000219.v1.pht001087.v1.p1",662,1048,1710,"01/19/2010","dbgap"
"1515","phs001491.v2.pht007254.v2.p1",134,171,305,"2020/03/09","dbgap"
"1517","phs000222.v6.pht009347.v1.p2",535,950,1485,"2019/08/01","dbgap"
"1518","phs000128.v3.pht000457.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1519","phs001364.v1.pht007466.v1.p1",523,619,1142,"2018/02/27","dbgap"
"1520","phs001680.v1.pht008916.v1.p1",22,10,32,"2019/03/28","dbgap"
"1521","phs001007.v1.pht005067.v1.p1",19,4,23,"11/30/2015","dbgap"
"1522","phs001945.v1.pht010487.v1.p1",46,11243,11289,"2021/05/25","dbgap"
"1523","phs000280.v7.pht006462.v1.p1",2228,2905,5133,"2020/06/18","dbgap"
"1524","phs001519.v1.pht008434.v1.p1",4,6,10,"2018/10/02","dbgap"
"1525","phs000182.v2.pht000795.v1.p1",1341,1999,3340,"08/06/2010","dbgap"
"1526","phs000128.v3.pht000411.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1527","phs001771.v1.pht008718.v1.p1",163,280,443,"2021/02/12","dbgap"
"1529","phs001828.v1.pht009370.v1.p1",799,593,1392,"2019/08/01","dbgap"
"1530","phs002327.v1.pht010916.v1.p1",11,13,24,"2021/02/02","dbgap"
"1531","phs001495.v2.pht007196.v2.p1",1,4,5,"2019/01/30","dbgap"
"1532","phs000285.v3.pht001670.v2.p2",904,1008,1912,"08/20/2013","dbgap"
"1533","phs000888.v1.pht005576.v1.p1",13,8,21,"08/12/2016","dbgap"
"1535","phs000219.v1.pht001049.v1.p1",358,498,856,"01/19/2010","dbgap"
"1536","phs001591.v1.pht009692.v1.p1",3437,3585,7022,"2021/08/03","dbgap"
"1537","phs000343.v3.pht003161.v1.p1",1379,785,2164,"03/12/2013","dbgap"
"1538","phs000280.v7.pht004215.v2.p1",1125,1,1126,"2020/06/18","dbgap"
"1539","phs001605.v2.pht010082.v2.p1",109,183,292,"2021/07/22","dbgap"
"1540","phs001108.v1.pht007712.v1.p1",10,36,46,"2018/03/30","dbgap"
"1542","phs001238.v2.pht006659.v1.p1",535,704,1239,"2018/06/14","dbgap"
"1547","phs001779.v1.pht010206.v1.p1",35,121,156,"2020/06/25","dbgap"
"1548","phs000185.v7.pht008409.v1.p1",46,57,103,"2020/04/29","dbgap"
"1549","phs000199.v1.pht000891.v1.p1",922,1104,2026,"01/06/2010","dbgap"
"1550","phs000285.v3.pht001785.v2.p2",868,962,1830,"08/20/2013","dbgap"
"1552","phs001442.v3.pht010299.v1.p2",461,365,826,"2021/08/13","dbgap"
"1553","phs001012.v1.pht005550.v1.p1",549,628,1177,"06/22/2016","dbgap"
"1554","phs001326.v1.pht007833.v1.p1",171,56,227,"2018/04/16","dbgap"
"1556","phs002311.v1.pht010932.v1.p1",41,67,108,"2021/03/30","dbgap"
"1557","phs001576.v2.pht008219.v2.p2",35,17,52,"2019/09/27","dbgap"
"1558","phs002259.v1.pht011026.v1.p1",5,20,25,"2021/05/28","dbgap"
"1559","phs002228.v1.pht010860.v1.p1",38,32,70,"2021/04/23","dbgap"
"1560","phs000560.v1.pht003068.v1.p1",333,510,843,"07/25/2014","dbgap"
"1562","phs001238.v2.pht006650.v1.p1",262,363,625,"2018/06/14","dbgap"
"1563","phs000007.v32.pht005145.v4.p13",464,522,986,"2020/12/21","dbgap"
"1565","phs000921.v4.pht004884.v3.p1",981,1122,2103,"2019/11/20","dbgap"
"1566","phs000287.v7.pht001492.v1.p1",2375,3156,5531,"2020/01/23","dbgap"
"1567","phs000272.v1.pht001444.v1.p1",1413,1080,2493,"09/20/2010","dbgap"
"1568","phs001287.v9.pht006104.v9.p5",941,818,1759,"2021/02/17","dbgap"
"1569","phs000128.v3.pht000600.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1570","phs001328.v1.pht006309.v1.p1",53,35,88,"05/17/2017","dbgap"
"1571","phs000577.v1.pht007280.v1.p1",14,16,30,"2017/12/20","dbgap"
"1572","phs002015.v1.pht010363.v1.p1",919,1068,1987,"2020/09/18","dbgap"
"1573","phs000473.v2.pht002597.v2.p2",6600,5780,12380,"08/15/2016","dbgap"
"1574","phs001327.v2.pht011191.v1.p1",2408,2643,5051,"2021/05/07","dbgap"
"1575","phs000360.v3.pht003255.v2.p1",8474,10189,18663,"08/05/2016","dbgap"
"1576","phs000620.v1.pht003894.v1.p1",3135,3649,6784,"03/03/2015","dbgap"
"1578","phs001090.v1.pht009055.v1.p1",1134,2045,3179,"2019/05/21","dbgap"
"1579","phs000280.v7.pht006455.v1.p1",2369,3180,5549,"2020/06/18","dbgap"
"1581","phs000007.v32.pht000820.v7.p13",1579,1773,3352,"2020/12/21","dbgap"
"1582","phs000552.v2.pht003030.v1.p1",12,53,65,"04/08/2014","dbgap"
"1583","phs000128.v3.pht000538.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1584","phs001744.v1.pht008570.v1.p1",2317,942,3259,"2020/08/24","dbgap"
"1586","phs001156.v2.pht007050.v1.p1",137,159,296,"2017/10/20","dbgap"
"1588","phs001009.v1.pht005349.v1.p1",75,107,182,"03/28/2016","dbgap"
"1589","phs000007.v32.pht000013.v3.p13",1216,1636,2852,"2020/12/21","dbgap"
"1590","phs000576.v1.pht006155.v1.p1",81,98,179,"05/24/2017","dbgap"
"1591","phs000678.v1.pht003566.v1.p1",570,2772,3342,"05/13/2014","dbgap"
"1592","phs000739.v1.pht003828.v1.p1",5,2,7,"05/02/2014","dbgap"
"1594","phs000516.v2.pht002829.v2.p1",34,25,59,"03/10/2015","dbgap"
"1598","phs000086.v3.pht000338.v1.p1",58,39,97,"11/04/2014","dbgap"
"1599","phs000285.v3.pht001818.v2.p2",880,993,1873,"08/20/2013","dbgap"
"1601","phs002059.v1.pht010426.v1.p1",925,887,1812,"2020/12/18","dbgap"
"1602","phs000660.v1.pht003508.v1.p1",5,7,12,"06/04/2014","dbgap"
"1604","phs000187.v1.pht000814.v1.p1",1814,1301,3115,"04/23/2010","dbgap"
"1607","phs000007.v32.pht000074.v13.p13",1896,2168,4064,"2020/12/21","dbgap"
"1609","phs000996.v2.pht005752.v1.p1",698,687,1385,"2019/10/11","dbgap"
"1610","phs001392.v1.pht006893.v1.p1",11,4,15,"2017/09/22","dbgap"
"1611","phs001701.v1.pht009375.v1.p1",425,884,1309,"2019/08/06","dbgap"
"1613","phs002437.v1.pht011431.v1.p1",8,9,17,"2021/07/29","dbgap"
"1614","phs001912.v1.pht009623.v1.p1",72,8,80,"2020/10/14","dbgap"
"1615","phs001518.v1.pht007331.v1.p1",1764,815,2579,"2020/01/07","dbgap"
"1617","phs000285.v3.pht001655.v2.p2",908,1014,1922,"08/20/2013","dbgap"
"1619","phs001459.v1.pht007309.v1.p1",7,29,36,"2020/09/28","dbgap"
"1620","phs000436.v1.pht002834.v1.p1",745,457,1202,"11/19/2013","dbgap"
"1621","phs000346.v2.pht002185.v2.p2",9054,2370,11424,"06/01/2015","dbgap"
"1623","phs001576.v2.pht008221.v2.p2",34,17,51,"2019/09/27","dbgap"
"1624","phs000391.v1.pht002995.v1.p1",332,334,666,"11/16/2012","dbgap"
"1627","phs002185.v1.pht010970.v1.p1",3687,2179,5866,"2021/08/24","dbgap"
"1628","phs001487.v1.pht007137.v1.p1",518,249,767,"2018/08/02","dbgap"
"1629","phs000997.v5.pht005688.v3.p2",118,55,173,"2021/05/20","dbgap"
"1632","phs001432.v1.pht006978.v1.p1",4,2,6,"2017/10/05","dbgap"
"1634","phs001055.v1.pht005911.v1.p1",1200,1197,2397,"2017/08/16","dbgap"
"1635","phs001005.v2.pht005039.v2.p1",3,1,4,"2019/11/01","dbgap"
"1636","phs001326.v1.pht007822.v1.p1",19,4,23,"2018/04/16","dbgap"
"1637","phs001288.v1.pht006781.v1.p1",56,40,96,"2017/10/19","dbgap"
"1639","phs000127.v2.pht000649.v1.p1",119,102,221,"09/03/2010","dbgap"
"1640","phs000166.v2.pht000706.v1.p1",2474,2176,4650,"09/03/2009","dbgap"
"1641","phs001339.v1.pht006789.v1.p1",712,748,1460,"2020/06/02","dbgap"
"1642","phs002176.v2.pht010947.v2.p1",18,20,38,"2021/05/10","dbgap"
"1643","phs000652.v1.pht003457.v1.p1",4326,2485,6811,"09/03/2013","dbgap"
"1645","phs000007.v32.pht000674.v7.p13",1509,1682,3191,"2020/12/21","dbgap"
"1646","phs000461.v1.pht003686.v1.p1",41,29,70,"02/12/2014","dbgap"
"1647","phs000997.v5.pht005088.v3.p2",118,55,173,"2021/05/20","dbgap"
"1648","phs000007.v32.pht000086.v3.p13",383,579,962,"2020/12/21","dbgap"
"1649","phs000219.v1.pht001055.v1.p1",162,250,412,"01/19/2010","dbgap"
"1650","phs000159.v9.pht002460.v7.p5",49,48,97,"2019/12/06","dbgap"
"1651","phs000285.v3.pht001648.v2.p2",138,131,269,"08/20/2013","dbgap"
"1653","phs000205.v6.pht001429.v6.p2",23970,16571,40541,"06/13/2016","dbgap"
"1654","phs000922.v2.pht004925.v2.p1",252,83,335,"2021/05/24","dbgap"
"1655","phs000179.v6.pht002238.v6.p2",5360,4643,10003,"2018/04/23","dbgap"
"1656","phs000128.v3.pht000515.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1658","phs000144.v1.pht000726.v1.p1",165,216,381,"Wed Jan 21 13:20:50 2009","dbgap"
"1661","phs001108.v1.pht007717.v1.p1",10,36,46,"2018/03/30","dbgap"
"1662","phs000019.v1.pht000179.v1.p1",672,723,1395,"Thu Jan 17 21:45:40 2008","dbgap"
"1663","phs001855.v1.pht009248.v1.p1",277,323,600,"2019/07/29","dbgap"
"1664","phs000128.v3.pht000495.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1665","phs000741.v2.pht003918.v2.p1",458,510,968,"11/14/2016","dbgap"
"1666","phs000370.v2.pht002383.v1.p1",69,23,92,"04/14/2014","dbgap"
"1667","phs000168.v2.pht000708.v2.p2",4221,5233,9454,"08/27/2012","dbgap"
"1668","phs000016.v2.pht000052.v2.p2",797,118,915,"11/27/2009","dbgap"
"1670","phs000007.v32.pht002074.v6.p13",1869,2141,4010,"2020/12/21","dbgap"
"1672","phs001723.v1.pht009728.v1.p1",2384,2409,4793,"2020/02/04","dbgap"
"1673","phs000459.v1.pht002543.v1.p1",737,684,1421,"01/07/2016","dbgap"
"1674","phs000007.v32.pht000689.v7.p13",1740,1896,3636,"2020/12/21","dbgap"
"1675","phs000576.v1.pht006156.v1.p1",115,128,243,"05/24/2017","dbgap"
"1676","phs000249.v2.pht003650.v1.p1",254,128,382,"04/16/2014","dbgap"
"1677","phs000280.v7.pht006440.v4.p1",1224,1399,2623,"2020/06/18","dbgap"
"1678","phs001802.v1.pht008960.v1.p1",3,2,5,"2019/04/09","dbgap"
"1680","phs001676.v1.pht009435.v1.p1",5431,3770,9201,"2020/04/24","dbgap"
"1681","phs000007.v32.pht000609.v5.p13",729,831,1560,"2020/12/21","dbgap"
"1682","phs001423.v3.pht006986.v3.p2",922,627,1549,"2021/05/13","dbgap"
"1683","phs001202.v1.pht005774.v1.p1",7438,2672,10110,"07/10/2017","dbgap"
"1684","phs002230.v1.pht010965.v1.p1",233,543,776,"2021/02/23","dbgap"
"1685","phs001918.v2.pht010050.v2.p1",5164,3924,9088,"2021/10/07","dbgap"
"1686","phs000906.v1.pht007149.v1.p1",4648,4362,9010,"2017/12/04","dbgap"
"1687","phs001430.v2.pht008059.v2.p1",13,10,23,"2020/02/06","dbgap"
"1688","phs001473.v1.pht009689.v1.p1",38,23,61,"2020/12/15","dbgap"
"1689","phs000737.v1.pht004446.v1.p1",600,805,1405,"01/29/2015","dbgap"
"1690","phs001296.v2.pht006359.v2.p1",11,30,41,"2019/05/31","dbgap"
"1691","phs001201.v2.pht007555.v2.p1",87,99,186,"2019/08/18","dbgap"
"1692","phs002023.v1.pht010197.v1.p1",3,11,14,"2020/05/06","dbgap"
"1693","phs000285.v3.pht001802.v2.p2",862,963,1825,"08/20/2013","dbgap"
"1694","phs001252.v1.pht006391.v1.p1",1691,1055,2746,"05/16/2017","dbgap"
"1695","phs000742.v1.pht008123.v1.p1",1232,1425,2657,"2018/07/23","dbgap"
"1696","phs002023.v1.pht010198.v1.p1",3,11,14,"2020/05/06","dbgap"
"1697","phs000539.v1.pht003021.v1.p1",3,5,8,"11/29/2012","dbgap"
"1698","phs001733.v1.pht008615.v1.p1",7,10,17,"2019/01/07","dbgap"
"1699","phs000089.v3.pht000802.v2.p2",896,845,1741,"04/01/2010","dbgap"
"1700","phs000595.v1.pht006643.v1.p1",287,328,615,"07/05/2017","dbgap"
"1701","phs000264.v2.pht001421.v1.p1",111,69,180,"03/04/2011","dbgap"
"1702","phs000219.v1.pht001085.v1.p1",40,41,81,"01/19/2010","dbgap"
"1703","phs001278.v1.pht006276.v1.p1",1,3,4,"06/16/2017","dbgap"
"1704","phs000280.v7.pht006486.v1.p1",588,671,1259,"2020/06/18","dbgap"
"1706","phs001814.v1.pht009005.v1.p1",149,130,279,"2019/06/03","dbgap"
"1707","phs000128.v3.pht000496.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1708","phs000285.v3.pht001731.v2.p2",121,218,339,"08/20/2013","dbgap"
"1709","phs000519.v1.pht003246.v1.p1",1937,2015,3952,"09/26/2013","dbgap"
"1710","phs001572.v1.pht007841.v1.p1",195,117,312,"2018/04/20","dbgap"
"1711","phs001862.v1.pht009747.v1.p1",278,380,658,"2019/12/26","dbgap"
"1712","phs000758.v1.pht004001.v1.p1",15,13,28,"08/21/2014","dbgap"
"1717","phs000285.v3.pht001629.v2.p2",909,1032,1941,"08/20/2013","dbgap"
"1718","phs000416.v2.pht002747.v2.p1",1723,1844,3567,"2018/07/06","dbgap"
"1719","phs000343.v3.pht003145.v1.p1",1379,785,2164,"03/12/2013","dbgap"
"1720","phs000086.v3.pht000352.v1.p1",39,64,103,"11/04/2014","dbgap"
"1721","phs000384.v1.pht002461.v1.p1",2,2,4,"06/01/2012","dbgap"
"1722","phs001534.v1.pht008519.v1.p1",26,4395,4421,"2019/09/16","dbgap"
"1723","phs000285.v3.pht001693.v2.p2",139,134,273,"08/20/2013","dbgap"
"1724","phs000007.v32.pht002150.v5.p13",1749,2021,3770,"2020/12/21","dbgap"
"1726","phs000601.v1.pht003514.v1.p1",30,50,80,"09/10/2013","dbgap"
"1727","phs000209.v13.pht003374.v1.p3",1315,1503,2818,"11/05/2014","dbgap"
"1728","phs000007.v32.pht002349.v2.p13",223,201,424,"2020/12/21","dbgap"
"1729","phs002015.v1.pht010395.v1.p1",1618,2226,3844,"2020/09/18","dbgap"
"1731","phs001783.v2.pht008820.v2.p1",372,465,837,"2021/08/06","dbgap"
"1732","phs001384.v1.pht006739.v1.p1",20,11,31,"2017/08/02","dbgap"
"1733","phs000560.v1.pht003067.v1.p1",204,303,507,"07/25/2014","dbgap"
"1735","phs000285.v3.pht001705.v2.p2",875,954,1829,"08/20/2013","dbgap"
"1736","phs000280.v7.pht004089.v2.p1",1535,1325,2860,"2020/06/18","dbgap"
"1737","phs001942.v1.pht010585.v1.p1",13,3,16,"2020/10/21","dbgap"
"1738","phs000275.v1.pht002971.v1.p1",235,689,924,"09/28/2012","dbgap"
"1739","phs001670.v1.pht008881.v1.p1",23,25,48,"2019/03/27","dbgap"
"1740","phs000007.v32.pht004362.v1.p13",196,189,385,"2020/12/21","dbgap"
"1742","phs000916.v1.pht004735.v1.p1",516,283,799,"07/26/2016","dbgap"
"1745","phs001392.v1.pht006891.v1.p1",17,9,26,"2017/09/22","dbgap"
"1746","phs000007.v32.pht002144.v6.p13",2071,2391,4462,"2020/12/21","dbgap"
"1747","phs000007.v32.pht002343.v5.p13",555,491,1046,"2020/12/21","dbgap"
"1749","phs001754.v4.pht009111.v3.p2",3664,6253,9917,"2021/02/26","dbgap"
"1750","phs001713.v1.pht008525.v1.p1",722,1352,2074,"2019/12/19","dbgap"
"1751","phs001910.v1.pht009539.v1.p1",22,24,46,"2019/10/15","dbgap"
"1752","phs000238.v1.pht002006.v1.p1",2330,2786,5116,"11/15/2013","dbgap"
"1753","phs000935.v1.pht004816.v1.p1",93,66,159,"11/16/2016","dbgap"
"1754","phs001705.v1.pht009272.v1.p1",314,251,565,"2019/07/26","dbgap"
"1755","phs000655.v3.pht004377.v2.p1",383,324,707,"12/09/2016","dbgap"
"1756","phs000275.v1.pht002972.v1.p1",235,689,924,"09/28/2012","dbgap"
"1757","phs000308.v1.pht002084.v1.p1",1,2,3,"12/16/2010","dbgap"
"1758","phs000280.v7.pht006426.v1.p1",2354,3139,5493,"2020/06/18","dbgap"
"1760","phs001082.v1.pht005382.v1.p1",5,4,9,"02/09/2017","dbgap"
"1761","phs001130.v1.pht008419.v1.p1",96,151,247,"2018/09/26","dbgap"
"1762","phs000966.v2.pht005305.v2.p2",766,883,1649,"2021/08/27","dbgap"
"1763","phs001434.v2.pht009856.v1.p1",47,18,65,"2021/06/23","dbgap"
"1765","phs002417.v1.pht011276.v1.p1",1578,1507,3085,"2021/06/03","dbgap"
"1766","phs001058.v1.pht005236.v1.p1",306,197,503,"01/25/2016","dbgap"
"1767","phs000128.v3.pht000502.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1768","phs001649.v1.pht008514.v1.p1",299,170,469,"2019/02/19","dbgap"
"1771","phs000732.v1.pht003802.v1.p1",12,8,20,"04/14/2014","dbgap"
"1772","phs000128.v3.pht000551.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1773","phs000280.v7.pht004129.v2.p1",6783,8156,14939,"2020/06/18","dbgap"
"1775","phs000007.v32.pht005171.v1.p13",68,88,156,"2020/12/21","dbgap"
"1776","phs001488.v1.pht007396.v1.p1",225,267,492,"2018/02/08","dbgap"
"1778","phs001810.v1.pht009064.v1.p1",837,724,1561,"2019/07/01","dbgap"
"1779","phs001292.v2.pht007854.v2.p1",238,538,776,"2019/06/03","dbgap"
"1781","phs000128.v3.pht000547.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"1782","phs000290.v1.pht002277.v1.p1",16,80,96,"08/23/2011","dbgap"
"1783","phs000371.v2.pht002988.v1.p1",1212,1563,2775,"10/25/2016","dbgap"
"1784","phs000001.v3.pht000371.v2.p1",2098,2659,4757,"02/24/2012","dbgap"
"1785","phs000884.v1.pht004600.v1.p1",146,94,240,"03/17/2015","dbgap"
"1786","phs002073.v1.pht010828.v1.p1",18,22,40,"2021/01/07","dbgap"
"1787","phs000007.v32.pht003317.v9.p13",7046,8098,15144,"2020/12/21","dbgap"
"1788","phs000926.v1.pht004866.v1.p1",3,1,4,"08/04/2015","dbgap"
"1789","phs000187.v1.pht001218.v1.p1",52,52,104,"04/23/2010","dbgap"
"1790","phs001448.v1.pht007031.v1.p1",27,31,58,"2017/10/19","dbgap"
"1791","phs000285.v3.pht001615.v2.p2",94,177,271,"08/20/2013","dbgap"
"1792","phs000698.v1.pht007689.v1.p1",17,29,46,"2018/03/23","dbgap"
"1793","phs001998.v1.pht010502.v1.p1",4,6,10,"2021/06/07","dbgap"
"1796","phs001330.v2.pht007529.v2.p1",25,15,40,"2019/11/08","dbgap"
"1797","phs001815.v1.pht009012.v1.p1",573,1064,1637,"2020/08/05","dbgap"
"1799","phs000473.v2.pht002600.v2.p2",6600,5780,12380,"08/15/2016","dbgap"
"1800","phs001586.v1.pht008148.v1.p1",98,101,199,"2018/06/18","dbgap"
"1801","phs000279.v2.pht001436.v2.p1",405,322,727,"01/11/2016","dbgap"
"1802","phs001929.v1.pht010012.v1.p1",325,275,600,"2020/03/26","dbgap"
"1803","phs000143.v1.pht000645.v1.p1",692,1340,2032,"02/25/2011","dbgap"
"1804","phs000306.v4.pht001909.v1.p1",5,7,12,"04/10/2014","dbgap"
"1805","phs001471.v1.pht009804.v1.p1",146,374,520,"2020/01/10","dbgap"
"1807","phs001934.v1.pht009777.v1.p1",55,66,121,"2020/01/31","dbgap"
"1810","phs000592.v1.pht006588.v1.p1",64,59,123,"07/12/2017","dbgap"
"1811","phs000222.v6.pht009349.v1.p2",487,854,1341,"2019/08/01","dbgap"
"1812","phs001327.v2.pht011183.v1.p1",13724,11941,25665,"2021/05/07","dbgap"
"1813","phs000678.v1.pht003563.v1.p1",1506,4447,5953,"05/13/2014","dbgap"
"1814","phs000999.v3.pht005181.v3.p1",130,112,242,"2019/11/22","dbgap"
"1816","phs000895.v1.pht005073.v1.p1",88,72,160,"04/01/2016","dbgap"
"1817","phs000205.v6.pht001431.v6.p2",23970,16571,40541,"06/13/2016","dbgap"
"1818","phs001804.v1.pht008965.v1.p1",1635,330,1965,"2019/04/23","dbgap"
