"","dbgap_study_id","male","female","total","date_study","repository"
"84","phs001490.v1.pht008137.v1.p1",1065,1522,2587,"2018/06/13","dbgap"
"86","phs000286.v6.pht008786.v1.p2",939,1570,2509,"2019/03/11","dbgap"
"88","phs000948.v1.pht004849.v1.p1",684,1284,1968,"08/26/2015","dbgap"
"89","phs001071.v1.pht005347.v1.p1",21,16,37,"2017/09/27","dbgap"
"91","phs000228.v4.pht001184.v3.p1",149,151,300,"03/21/2017","dbgap"
"93","phs001095.v1.pht005619.v1.p1",421,437,858,"09/28/2016","dbgap"
"94","phs000718.v1.pht003839.v1.p1",1243,1187,2430,"06/09/2015","dbgap"
"96","phs001384.v1.pht006741.v1.p1",20,11,31,"2017/08/02","dbgap"
"97","phs000128.v3.pht000440.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"98","phs000086.v3.pht000276.v1.p1",746,674,1420,"11/04/2014","dbgap"
"99","phs001038.v1.pht005208.v1.p1",9,11,20,"02/23/2016","dbgap"
"100","phs001860.v1.pht009454.v1.p1",86,120,206,"2020/05/15","dbgap"
"102","phs001910.v1.pht009538.v1.p1",22,24,46,"2019/10/15","dbgap"
"103","phs000630.v1.pht003384.v1.p1",466,480,946,"04/29/2014","dbgap"
"104","phs001191.v1.pht006224.v1.p1",312,588,900,"03/29/2017","dbgap"
"106","phs001330.v2.pht007537.v2.p1",25,15,40,"2019/11/08","dbgap"
"107","phs000910.v1.pht004728.v1.p1",4063,3942,8005,"08/20/2015","dbgap"
"109","phs001718.v1.pht009424.v1.p1",1240,855,2095,"2019/09/16","dbgap"
"110","phs000609.v1.pht003283.v1.p1",18,9,27,"05/14/2013","dbgap"
"111","phs002315.v1.pht011314.v1.p1",6,2,8,"2021/08/18","dbgap"
"112","phs001803.v1.pht008939.v1.p1",223,696,919,"2019/04/04","dbgap"
"113","phs001519.v1.pht008433.v1.p1",4,6,10,"2018/10/02","dbgap"
"114","phs001736.v1.pht009330.v1.p1",1504,881,2385,"2019/07/29","dbgap"
"115","phs001881.v1.pht010564.v1.p1",2839,1545,4384,"2020/10/01","dbgap"
"116","phs000007.v32.pht000200.v4.p13",97,99,196,"2020/12/21","dbgap"
"117","phs000126.v2.pht000365.v2.p1",1032,1020,2052,"08/29/2016","dbgap"
"118","phs001575.v2.pht009606.v1.p1",16,26,42,"2019/11/12","dbgap"
"119","phs001649.v1.pht008517.v1.p1",299,170,469,"2019/02/19","dbgap"
"121","phs002377.v1.pht011115.v1.p1",19,17,36,"2021/04/07","dbgap"
