0,EGAS00001001585,
0,EGAS00000000092,HP:0002664
1,EGAS00000000092,HP:0005550
2,EGAS00000000092,HP:5200049
0,EGAS00001001540,HP:0002664
1,EGAS00001001540,HP:0002671
0,EGAS00001001487,HP:0002664
1,EGAS00001001487,HP:0002860
0,EGAS00000000029,HP:0002664
0,EGAS00001001539,HP:0005550
1,EGAS00001001539,HP:0002664
2,EGAS00001001539,HP:0002885
3,EGAS00001001539,HP:0032320
0,EGAS00001001591,HP:0002664
1,EGAS00001001591,HP:5200049
2,EGAS00001001591,HP:0032320
0,EGAS00001001520,HP:0007716
0,EGAS00000000122,HP:0003002
1,EGAS00000000122,HP:0002664
2,EGAS00000000122,HP:0100013
0,EGAS00001000001,HP:0001730
0,EGAS00001000002,HP:0003002
0,EGAS00001000003,HP:0002664
0,EGAS00001000004,HP:0003002
0,EGAS00001000005,HP:0002664
0,EGAS00001000006,HP:0002664
0,EGAS00001000008,
0,EGAS00001000009,
0,EGAS00001000011,HP:0002664
0,EGAS00001000012,HP:0002664
0,EGAS00001000013,HP:0002664
0,EGAS00001000014,HP:0002664
0,EGAS00001000016,
0,EGAS00001000017,HP:0002861
0,EGAS00001000020,
0,EGAS00001000023,HP:0001258
1,EGAS00001000023,HP:0045028
2,EGAS00001000023,HP:0010864
0,EGAS00001000024,
0,EGAS00001000025,
0,EGAS00001000026,
0,EGAS00001000027,HP:0006733
1,EGAS00001000027,HP:0002664
0,EGAS00001000028,HP:0002664
1,EGAS00001000028,HP:0001901
0,EGAS00001000030,HP:0002664
1,EGAS00001000030,HP:0030731
0,EGAS00001000031,HP:0003002
1,EGAS00001000031,HP:0002664
0,EGAS00001000032,HP:0100726
1,EGAS00001000032,HP:0002664
0,EGAS00001000033,HP:0001903
1,EGAS00001000033,HP:0002664
2,EGAS00001000033,HP:0004808
0,EGAS00001000034,HP:0002664
0,EGAS00001000035,HP:0001909
1,EGAS00001000035,HP:0004836
2,EGAS00001000035,HP:0004808
0,EGAS00001000036,HP:0002664
1,EGAS00001000036,HP:0006775
0,EGAS00001000037,HP:0100751
1,EGAS00001000037,HP:0002664
0,EGAS00001000038,HP:0002664
1,EGAS00001000038,HP:0006765
0,EGAS00001000040,HP:0002664
0,EGAS00001000041,
0,EGAS00001000042,HP:0003002
0,EGAS00001000043,HP:0001658
1,EGAS00001000043,HP:0032316
0,EGAS00001000046,HP:0004808
0,EGAS00001000047,
0,EGAS00001000048,HP:0032316
1,EGAS00001000048,HP:0002315
2,EGAS00001000048,HP:0030212
3,EGAS00001000048,HP:0001250
4,EGAS00001000048,HP:0002076
0,EGAS00001000049,HP:0001650
0,EGAS00001000050,HP:0001658
1,EGAS00001000050,HP:0032316
0,EGAS00001000052,
0,EGAS00001000053,HP:0004813
1,EGAS00001000053,HP:5200049
0,EGAS00001000054,HP:0000924
1,EGAS00001000054,HP:0001873
2,EGAS00001000054,HP:0001892
3,EGAS00001000054,HP:0032320
0,EGAS00001000055,HP:0032322
1,EGAS00001000055,HP:5200049
0,EGAS00001000058,HP:0002664
1,EGAS00001000058,HP:0006721
0,EGAS00001000059,
0,EGAS00001000060,HP:0100280
1,EGAS00001000060,HP:0030212
2,EGAS00001000060,HP:0032321
3,EGAS00001000060,HP:0032320
0,EGAS00001000061,
0,EGAS00001000062,HP:0005978
0,EGAS00001000063,HP:0011675
1,EGAS00001000063,HP:5200049
2,EGAS00001000063,HP:0001645
3,EGAS00001000063,HP:0032320
0,EGAS00001000064,HP:0003510
0,EGAS00001000066,HP:0032320
0,EGAS00001000067,
0,EGAS00001000068,
0,EGAS00001000069,HP:0030212
0,EGAS00001000071,
0,EGAS00001000074,HP:0002664
0,EGAS00001000075,
0,EGAS00001000076,HP:0002664
0,EGAS00001000077,HP:0030212
1,EGAS00001000077,HP:0002664
0,EGAS00001000078,
0,EGAS00001000079,HP:0001658
1,EGAS00001000079,HP:0032316
0,EGAS00001000080,HP:0001909
0,EGAS00001000081,HP:0001909
0,EGAS00001000082,HP:0002664
1,EGAS00001000082,HP:0003006
2,EGAS00001000082,HP:0002665
3,EGAS00001000082,HP:0100526
0,EGAS00001000085,HP:0030692
1,EGAS00001000085,HP:0002664
2,EGAS00001000085,HP:0002885
0,EGAS00001000086,HP:0001626
1,EGAS00001000086,HP:0012393
2,EGAS00001000086,HP:0004324
3,EGAS00001000086,HP:0002099
0,EGAS00001000087,HP:0002664
0,EGAS00001000088,HP:0002664
1,EGAS00001000088,HP:0001894
2,EGAS00001000088,HP:0032320
0,EGAS00001000089,HP:0002863
1,EGAS00001000089,HP:0002664
0,EGAS00001000090,HP:0030212
1,EGAS00001000090,HP:0001513
2,EGAS00001000090,HP:0000790
