study_id,dbgap_id,male,female,unknown
1991,phs000573.v1.p1,67,44,17
1992,phs000574.v1.p1,0,0,1020
1994,phs000576.v1.p1,0,0,245
1995,phs000577.v1.p1,0,0,542
1997,phs000578.v1.p1,0,0,95
1998,phs000579.v1.p1,53,52,0
2000,phs000581.v1.p1,22,26,0
2001,phs000582.v1.p1,7,5,0
2002,phs000262.v3.p2,432,130,50
2005,phs000584.v1.p1,925,1310,501
2017,phs000343.v3.p1,1375,802,64
2018,phs000587.v1.p1,16,13,0
2019,phs000588.v1.p1,0,0,194
2020,phs000589.v1.p1,0,0,138
2021,phs000590.v1.p1,0,0,71
2023,phs000592.v1.p1,0,0,341
2025,phs000594.v1.p1,0,0,9
2026,phs000595.v1.p1,0,0,617
2027,phs000596.v1.p1,0,0,124
2028,phs000597.v1.p1,19,0,0
2029,phs000339.v2.p1,46,88,0
2039,phs000600.v1.p1,0,230,0
2040,phs000601.v1.p1,0,20,0
2047,phs000603.v1.p1,0,0,17
2054,phs000605.v1.p1,0,0,111
2055,phs000606.v1.p1,0,0,1051
2077,phs000614.v1.p1,0,2,0
2079,phs000285.v3.p2,5834,6969,753
2080,phs000200.v9.p3,0,51395,6605
2095,phs000615.v1.p1,5910,5669,0
2098,phs000618.v1.p1,2046,2304,0
2099,phs000619.v1.p1,820,0,0
2100,phs000620.v1.p1,2824,3273,593
2101,phs000621.v1.p1,149,66,0
2108,phs000622.v1.p1,1674,2061,18
2111,phs000623.v1.p1,47,59,0
2112,phs000624.v1.p1,427,339,0
2115,phs000626.v1.p1,6,6,0
2116,phs000627.v1.p1,0,0,174
2117,phs000628.v1.p1,0,5,2
2120,phs000630.v1.p1,466,480,105
2121,phs000631.v1.p1,2176,1595,1
2122,phs000632.v1.p1,12,7,13
2123,phs000633.v1.p1,0,0,103
2124,phs000634.v1.p1,801,1519,0
2130,phs000636.v1.p1,15,29,0
2143,phs000637.v1.p1,650,617,0
2144,phs000638.v1.p1,1341,1146,0
2145,phs000639.v1.p1,465,302,38
2147,phs000641.v1.p1,10,5,0
2151,phs000644.v1.p1,0,20,0
2154,phs000646.v1.p1,4,2,0
2155,phs000647.v1.p1,13,0,0
2156,phs000648.v1.p1,4717,3641,19
2167,phs000652.v1.p1,4499,2573,0
2173,phs000266.v4.p1,2073,1138,0
2174,phs000656.v1.p1,56,49,0
2175,phs000657.v1.p1,16,9,6
2176,phs000658.v1.p1,493,945,3
2177,phs000659.v1.p1,0,0,158
2181,phs000662.v1.p1,299,342,0
2183,phs000251.v2.p2,159,77,0
2184,phs000664.v1.p1,17,17,0
2186,phs000666.v1.p1,937,1617,0
2191,phs000669.v1.p1,55,7068,4
2192,phs000670.v1.p1,194,335,0
2200,phs000671.v1.p1,18,2,0
2202,phs000428.v2.p2,6933,9575,0
2205,phs000598.v2.p2,84,18,198
2206,phs000674.v1.p1,32008,46478,2429
2207,phs000504.v2.p2,110,74,0
2230,phs000677.v1.p1,0,0,5427
2231,phs000678.v1.p1,629,2863,2530
2232,phs000679.v1.p1,0,1001,0
2239,phs000682.v1.p1,103,59,0
2251,phs000249.v2.p1,254,128,0
2253,phs000689.v1.p1,0,0,55
2254,phs000690.v1.p1,15,45,0
2269,phs000697.v1.p1,0,0,39
2270,phs000698.v1.p1,0,0,51
2271,phs000699.v1.p1,58,58,0
2273,phs000701.v1.p1,0,0,91
2275,phs000703.v1.p1,1909,1397,0
2278,phs000706.v1.p1,0,5,0
2280,phs000708.v1.p1,90,109,0
2281,phs000709.v1.p1,0,0,29
2285,phs000710.v1.p1,44,52,12
2286,phs000357.v2.p1,85,748,0
2288,phs000712.v1.p1,310,223,106
2289,phs000713.v1.p1,328,380,0
2290,phs000714.v1.p1,0,0,2925
2299,phs000716.v1.p1,0,9178,0
2301,phs000718.v1.p1,1114,1175,176
2302,phs000719.v1.p1,14,88,0
2304,phs000348.v2.p1,52,26,331
2307,phs000723.v1.p1,0,29,0
2309,phs000313.v4.p2,845,1232,2613
2312,phs000726.v1.p1,546,426,0
2313,phs000727.v1.p1,215,180,0
2315,phs000729.v1.p1,8,10,0
2316,phs000730.v1.p1,103,189,0
2319,phs000732.v1.p1,12,8,0
2320,phs000733.v1.p1,4141,40,0
2323,phs000734.v1.p1,423,294,0
2325,phs000735.v1.p1,0,0,48
2326,phs000552.v2.p1,24,106,0
2339,phs000508.v2.p1,38,32,0
2343,phs000418.v2.p1,14,2,0
2345,phs000306.v4.p1,11286,38,328
2347,phs000340.v3.p1,135,61,0
2348,phs000370.v2.p1,138,46,0
2351,phs000737.v1.p1,565,750,684
2353,phs000739.v1.p1,5,2,0
2355,phs000740.v1.p1,33,7,0
2364,phs000742.v1.p1,0,0,7871
2365,phs000209.v13.p3,11235,12687,1392
2369,phs000743.v1.p1,982,0,1134
2371,phs000745.v1.p1,10,10,0
2377,phs000750.v1.p1,112,138,20
2378,phs000751.v1.p1,1090,526,0
2387,phs000753.v1.p1,1302,988,0
2391,phs000756.v1.p1,4392,4943,0
2392,phs000757.v1.p1,33,21,73
2394,phs000758.v1.p1,10,11,7
2395,phs000759.v1.p1,13,12,0
2397,phs000760.v1.p1,335,251,0
2398,phs000761.v1.p1,1298,1737,411
2400,phs000763.v1.p1,987,1071,1476
2404,phs000766.v1.p1,2383,2371,90
2405,phs000767.v1.p1,132,45,0
2408,phs000770.v1.p1,0,29,0
2410,phs000772.v1.p1,24,11,813
2413,phs000775.v1.p1,497,362,0
2415,phs000776.v1.p1,7,26,0
2416,phs000777.v1.p1,4,6,0
2417,phs000778.v1.p1,1,4,0
2418,phs000779.v1.p1,1457,1445,0
2422,phs000335.v3.p2,2734,1627,247
2424,phs000782.v1.p1,39,7,0
2425,phs000180.v3.p2,2196,1930,31
2429,phs000086.v3.p1,758,689,85
2443,phs000785.v1.p1,0,0,198
2445,phs000787.v1.p1,150,60,0
2452,phs000790.v1.p1,0,0,12
2454,phs000792.v1.p1,41,5,0
2457,phs000794.v1.p1,23,19,0
2458,phs000795.v1.p1,0,6,16
2459,phs000796.v1.p1,1152,2087,0
2460,phs000797.v1.p1,4,1,0
2461,phs000798.v1.p1,0,11,33
2462,phs000799.v1.p1,0,5152,0
2473,phs000807.v1.p1,0,1914,0
2476,phs000809.v1.p1,6,2,0
2479,phs000811.v1.p1,0,0,16
2480,phs000812.v1.p1,503,187,11811
2481,phs000813.v1.p1,1228,1855,15
2482,phs000814.v1.p1,3187,405,0
2491,phs000817.v1.p1,48,208,8
2494,phs000820.v1.p1,410,133,0
2495,phs000821.v1.p1,0,0,1366
2496,phs000822.v1.p1,0,466,0
2497,phs000823.v1.p1,178,209,0
2498,phs000824.v1.p1,37,63,0
2499,phs000825.v1.p1,0,0,2
2500,phs000826.v1.p1,0,0,1579
2502,phs000828.v1.p1,0,0,5
2504,phs000830.v1.p1,22,4,0
2514,phs000832.v1.p1,199,182,0
2519,phs000564.v2.p1,141,137,0
2520,phs000837.v1.p1,3,3,0
2521,phs000838.v1.p1,932,0,0
2522,phs000839.v1.p1,2,3,140
2523,phs000840.v1.p1,3434,3531,0
2525,phs000841.v1.p1,0,180,0
2532,phs000846.v1.p1,0,0,27
2533,phs000691.v2.p1,291,197,163
2535,phs000848.v1.p1,1,2,0
2539,phs000288.v2.p2,1381,1188,0
2541,phs000851.v1.p1,0,5367,0
2542,phs000852.v1.p1,419,365,0
2546,phs000855.v1.p1,39,9,0
2547,phs000856.v1.p1,0,2,0
2548,phs000857.v1.p1,0,50,0
2549,phs000858.v1.p1,2,5,0
2555,phs000862.v1.p1,0,0,5
2556,phs000863.v1.p1,358,292,0
2558,phs000864.v1.p1,3976,16,6
2560,phs000866.v1.p1,45,42,0
2561,phs000867.v1.p1,2182,1746,0
2562,phs000868.v1.p1,0,0,29
2564,phs000869.v1.p1,5550,1379,2
2566,phs000516.v2.p1,68,50,0
2568,phs000147.v3.p1,0,2723,0
2569,phs000870.v1.p1,57,0,0
2570,phs000871.v1.p1,32,34,0
2571,phs000872.v1.p1,18,6,0
2572,phs000873.v1.p1,2,9,4
2573,phs000874.v1.p1,498,452,0
2579,phs000879.v1.p1,30,30,0
2582,phs000882.v1.p1,7639,0,0
2584,phs000883.v1.p1,1331,723,0
2588,phs000885.v1.p1,84,16,5
2593,phs000886.v1.p1,30,44,0
2598,phs000196.v3.p1,2259,2012,0
2613,phs000893.v1.p1,0,299,8323
2614,phs000894.v1.p1,320,235,0
2615,phs000895.v1.p1,176,144,0
2616,phs000896.v1.p1,30,42,0
2617,phs000897.v1.p1,0,0,142
2626,phs000898.v1.p1,0,2,0
2628,phs000900.v1.p1,0,0,75
2629,phs000616.v2.p2,480,477,627
2630,phs000901.v1.p1,44,13,0
2631,phs000902.v1.p1,607,177,0
2632,phs000903.v1.p1,1149,1464,474
2633,phs000904.v1.p1,4,4,6
2636,phs000907.v1.p1,2,11,0
2639,phs000909.v1.p1,300,0,0
2640,phs000517.v3.p1,0,3790,0
2641,phs000910.v1.p1,4063,3942,0
2642,phs000911.v1.p1,8608,8852,1387
2643,phs000912.v1.p1,0,1165,0
2645,phs000914.v1.p1,1297,1926,384
2647,phs000916.v1.p1,516,283,0
2648,phs000917.v1.p1,5982,1309,7
2654,phs000923.v1.p1,141,0,0
2656,phs000925.v1.p1,5225,8324,334
2657,phs000926.v1.p1,3,1,0
2658,phs000927.v1.p1,71,131,0
2659,phs000928.v1.p1,9,23,0
2660,phs000929.v1.p1,32,7335,2
2665,phs000932.v1.p1,8,0,0
2667,phs000934.v1.p1,0,0,1291
2669,phs000935.v1.p1,93,66,0
2670,phs000936.v1.p1,3623,2240,7
2672,phs000938.v1.p1,0,0,4
2675,phs000941.v1.p1,0,0,39
2676,phs000942.v1.p1,26,232,0
2679,phs000944.v1.p1,2048,2881,2
2682,phs000947.v1.p1,0,325,0
2683,phs000948.v1.p1,684,1284,0
2684,phs000949.v1.p1,1399,1929,12
2685,phs000950.v1.p1,0,129,0
2689,phs000206.v5.p3,4940,4762,0
2690,phs000952.v1.p1,1539,1333,1012
2691,phs000953.v1.p1,0,0,218
2693,phs000955.v1.p1,1744,2385,0
2707,phs000957.v1.p1,3625,5582,5
2708,phs000958.v1.p1,96,104,0
2710,phs000959.v1.p1,1343,194,0
2713,phs000962.v1.p1,228,159,144
2714,phs000963.v1.p1,3771,2119,0
2719,phs000967.v1.p1,0,32,0
2721,phs000536.v2.p1,0,0,96
2722,phs000571.v3.p2,4354,3829,0
2723,phs000969.v1.p1,2,2,0
2724,phs000970.v1.p1,0,17,0
2727,phs000973.v1.p1,46,19,0
2729,phs000975.v1.p1,0,0,794
2731,phs000977.v1.p1,0,2,138
2732,phs000978.v1.p1,0,0,2
2734,phs000980.v1.p1,32,36,0
2738,phs000982.v1.p1,1357,1488,2
2740,phs000984.v1.p1,98,110,2
2741,phs000985.v1.p1,942,0,0
2766,phs000260.v4.p2,482,93,0
2768,phs000892.v2.p2,24,178,0
2770,phs000991.v1.p1,1116,1136,0
2785,phs000994.v1.p1,12,7,65
2796,phs001000.v1.p1,1973,349,0
2797,phs001001.v1.p1,761,188,448
2799,phs001002.v1.p1,761,0,0
2803,phs001006.v1.p1,0,94,0
2804,phs000435.v3.p1,531,397,31
