"ega_stable_id";"male";"female";"unknown";"total";"date_study";"repository"
"EGAS00001000078";"0";"0";"76";"76";"2011-06-23";"EGA"
"EGAS00001000079";"0";"0";"8";"8";"2011-06-24";"EGA"
"EGAS00001000080";"0";"0";"24";"24";"2011-06-24";"EGA"
"EGAS00001000081";"0";"0";"48";"48";"2011-06-24";"EGA"
"EGAS00001000082";"0";"0";"16";"16";"2011-06-24";"EGA"
"EGAS00001000083";"240";"176";"2853";"3269";"2011-06-24";"EGA"
"EGAS00001000085";"0";"0";"496";"496";"2011-06-30";"EGA"
"EGAS00001000086";"0";"0";"130";"130";"2011-06-30";"EGA"
"EGAS00001000087";"0";"0";"220";"220";"2011-07-01";"EGA"
"EGAS00001000088";"0";"0";"4";"4";"2011-07-05";"EGA"
"EGAS00001000089";"0";"0";"949";"949";"2011-07-05";"EGA"
"EGAS00001000090";"0";"0";"4987";"4987";"2011-07-13";"EGA"
"EGAS00001000091";"0";"0";"5";"5";"2011-07-14";"EGA"
"EGAS00001000092";"0";"0";"279";"279";"2011-07-20";"EGA"
"EGAS00001000093";"0";"0";"29";"29";"2011-07-21";"EGA"
"EGAS00001000094";"0";"0";"186";"186";"2011-07-27";"EGA"
"EGAS00001000095";"0";"0";"637";"637";"2011-08-04";"EGA"
"EGAS00001000096";"0";"0";"4";"4";"2011-08-05";"EGA"
"EGAS00001000097";"0";"0";"78";"78";"2011-08-09";"EGA"
"EGAS00001000098";"0";"0";"174";"174";"2011-08-09";"EGA"
"EGAS00001000099";"0";"0";"3";"3";"2011-08-11";"EGA"
"EGAS00001000100";"0";"0";"8";"8";"2011-08-11";"EGA"
"EGAS00001000101";"0";"0";"526";"526";"2011-08-16";"EGA"
"EGAS00001000102";"0";"0";"189";"189";"2011-08-17";"EGA"
"EGAS00001000103";"0";"0";"355";"355";"2011-08-17";"EGA"
"EGAS00001000104";"0";"0";"5";"5";"2011-08-17";"EGA"
"EGAS00001000105";"0";"0";"11";"11";"2011-08-17";"EGA"
"EGAS00001000106";"0";"0";"6";"6";"2011-08-17";"EGA"
"EGAS00001000107";"0";"0";"7";"7";"2011-08-17";"EGA"
"EGAS00001000108";"0";"0";"9202";"9202";"2011-08-18";"EGA"
"EGAS00001000109";"0";"0";"1052";"1052";"2011-08-18";"EGA"
"EGAS00001000110";"0";"0";"338";"338";"2011-08-18";"EGA"
"EGAS00001000111";"0";"0";"212";"212";"2011-08-18";"EGA"
"EGAS00001000112";"0";"0";"224";"224";"2011-08-18";"EGA"
"EGAS00001000113";"0";"0";"253";"253";"2011-08-18";"EGA"
"EGAS00001000114";"0";"0";"966";"966";"2011-08-18";"EGA"
"EGAS00001000115";"0";"0";"157";"157";"2011-08-18";"EGA"
"EGAS00001000117";"0";"0";"667";"667";"2011-08-18";"EGA"
"EGAS00001000118";"0";"0";"487";"487";"2011-08-18";"EGA"
"EGAS00001000119";"0";"0";"1097";"1097";"2011-08-18";"EGA"
"EGAS00001000120";"0";"0";"338";"338";"2011-08-18";"EGA"
"EGAS00001000121";"0";"0";"500";"500";"2011-08-18";"EGA"
"EGAS00001000122";"0";"0";"779";"779";"2011-08-18";"EGA"
"EGAS00001000123";"0";"0";"1771";"1771";"2011-08-18";"EGA"
"EGAS00001000124";"0";"0";"3320";"3320";"2011-08-18";"EGA"
"EGAS00001000125";"0";"0";"465";"465";"2011-08-18";"EGA"
"EGAS00001000126";"0";"0";"564";"564";"2011-08-18";"EGA"
"EGAS00001000127";"0";"0";"536";"536";"2011-08-18";"EGA"
"EGAS00001000128";"0";"0";"1660";"1660";"2011-08-18";"EGA"
"EGAS00001000129";"0";"0";"452";"452";"2011-08-18";"EGA"
"EGAS00001000130";"0";"0";"416";"416";"2011-08-18";"EGA"
"EGAS00001000131";"0";"0";"396";"396";"2011-08-18";"EGA"
"EGAS00001000132";"0";"0";"328";"328";"2011-08-18";"EGA"
"EGAS00001000133";"0";"0";"46";"46";"2011-08-22";"EGA"
"EGAS00001000134";"0";"0";"7";"7";"2011-08-25";"EGA"
"EGAS00001000191";"0";"0";"6";"6";"2011-08-26";"EGA"
"EGAS00001000136";"0";"0";"27";"27";"2011-09-01";"EGA"
"EGAS00001000137";"0";"0";"394";"394";"2011-09-06";"EGA"
"EGAS00001000138";"0";"0";"7";"7";"2011-09-08";"EGA"
"EGAS00001000139";"0";"0";"1";"1";"2011-09-08";"EGA"
"EGAS00001000140";"0";"0";"22";"22";"2011-09-09";"EGA"
"EGAS00001000142";"0";"0";"9";"9";"2011-09-20";"EGA"
"EGAS00001000145";"0";"0";"25";"25";"2011-09-21";"EGA"
"EGAS00001000146";"0";"0";"6";"6";"2011-09-23";"EGA"
"EGAS00001000147";"21";"0";"123";"144";"2011-09-23";"EGA"
"EGAS00001000148";"0";"0";"38";"38";"2011-09-27";"EGA"
"EGAS00001000149";"0";"0";"46";"46";"2011-09-30";"EGA"
"EGAS00001000151";"0";"0";"247";"247";"2011-09-30";"EGA"
"EGAS00001000152";"0";"0";"4";"4";"2011-10-03";"EGA"
"EGAS00001000153";"0";"0";"43";"43";"2011-10-04";"EGA"
"EGAS00001000154";"195";"180";"866";"1241";"2011-10-07";"EGA"
"EGAS00001000155";"0";"0";"36";"36";"2011-10-13";"EGA"
"EGAS00001000156";"0";"0";"10";"10";"2011-10-19";"EGA"
"EGAS00001000157";"0";"0";"10";"10";"2011-10-19";"EGA"
